"source","target","id","developer_comments"
"XCMNT_0017","“放学后”","XCMNT_0017","机翻辅助：

“放学后”"
"XMESS_0000","抚子，想克林营地想得很难受吗？

","XMESS_0000","机翻辅助：

抚子，想克林营地想得很难受吗？



抚子，想到栗Can的露营地很辛苦吗？



抚子，克里坎的营地想得辛苦吗？"
"XMESS_0001","没有，一点也不辛苦。
不过要说辛苦，也真的满辛苦的。","XMESS_0001","机翻辅助：

没有，一点也不辛苦。
不过要说辛苦，也真的满辛苦的。

不、不辣。
不过说辛苦也挺辛苦的。

不、不辣。
但是说很辛苦的话就很辛苦了啊。"
"XMESS_0002","因为小凛拿来的导览手册上介绍的景点，看起来全都好棒。

","XMESS_0002","机翻辅助：

因为小凛拿来的导览手册上介绍的景点，看起来全都好棒。



因为凛带来的旅游指南上介绍的，看起来都很棒。



因为只要是凛带来的旅游指南上的介绍，一切看起来都很美好。"
"XMESS_0003","看得我眼花缭乱，好辛苦哦。","XMESS_0003","机翻辅助：

看得我眼花缭乱，好辛苦哦。

眼花缭乱很辛苦哦。

转移视线很辛苦。"
"XMESS_0004","我懂。","XMESS_0004","机翻辅助：

我懂。

明白。

我明白。"
"XMESS_0005","不过还是谢谢你。
有那么多导览书，
我也更了解露营场了。","XMESS_0005","机翻辅助：

不过还是谢谢你。
有那么多导览书，
我也更了解露营场了。

但是，谢谢你。
因为有那么多的旅游指南，所以对露营地也变得详细了。


但是，谢谢你。
因为有那么多旅游指南，可能对露营地也更熟悉了。"
"XMESS_0006","记得帮我向小凛的爷爷道谢哦。
","XMESS_0006","机翻辅助：

记得帮我向小凛的爷爷道谢哦。


也要向凛的爷爷道谢哦。"
"XMESS_0007","好，我会的。
他应该会很高兴吧。","XMESS_0007","机翻辅助：

好，我会的。
他应该会很高兴吧。

啊，我会转告你的。
你不是很高兴吗。

嗯，我会转告的。
应该会很高兴吧。"
"XMESS_0008","诶嘿嘿。","XMESS_0008","机翻辅助：

诶嘿嘿。

嘿嘿。"
