"source","target","id","developer_comments"
"XCMNT_0017","“周五早上”","XCMNT_0017","机翻辅助：

“周五早上”

“星期五早上”

“星期五的早晨”"
"XMESS_0000","早安～","XMESS_0000","机翻辅助：

早安～

早上好。"
"XMESS_0001","啊，早安。
今天早上比昨天更冷了呢。","XMESS_0001","机翻辅助：

啊，早安。
今天早上比昨天更冷了呢。

啊，早上好。
今天早上更冷了。"
"XMESS_0002","真的很冷呢。
但是，
这么冷的话明天就可以安心露营了。","XMESS_0002","机翻辅助：

真的很冷呢。
但是，
这么冷的话明天就可以安心露营了。

真的很冷呢。
不过，
这么冷明天就可以安心露营了。

真的很冷呢。
不过，既然这么冷，明天就可以放心露营了。"
"XMESS_0003","什么意思？","XMESS_0003","机翻辅助：

什么意思？

怎么回事？"
"XMESS_0004","嗯，
这是昨天葵告诉我的……","XMESS_0004","机翻辅助：

嗯，
这是昨天葵告诉我的……

嗯，
昨天听小葵说的……

嗯，
昨天听小葵说的话……"
"XMESS_0005","田贯湖正如其名，
是狸猫的巢穴，
所以最好小心不要被偷食材。","XMESS_0005","机翻辅助：

田贯湖正如其名，
是狸猫的巢穴，
所以最好小心不要被偷食材。

正如其名，
田贯湖是狸猫的巢穴，
所以最好注意不要被偷盗食材。

她说，田贯湖正如其名，是狸猫的巢穴，所以要小心食材被偷走。"
"XMESS_0006","啊，等一下。","XMESS_0006","机翻辅助：

啊，等一下。"
"XMESS_0007","怎么了？
突然拿出手机？","XMESS_0007","机翻辅助：

怎么了？
突然拿出手机？

怎么了？
突然拿出手机什么的？"
"XMESS_0008","噢，这个吗？
我看看……","XMESS_0008","机翻辅助：

噢，这个吗？
我看看……

啊，是这个吧。
嗯……

啊，是这个吧。
呃……"
"XMESS_0009","很久以前，
原神主田贯某搬到这附近居住，
所以被称为田贯沼。","XMESS_0009","机翻辅助：

很久以前，
原神主田贯某搬到这附近居住，
所以被称为田贯沼。

据说很久以前，有个叫田贯某的人担任神主，后来他移居到这附近，所以这里就被称为田贯沼。



以前，原神主田贯某因为搬到了这附近而被称为田贯沼。"
"XMESS_0010","之后，因为灌溉用的蓄水工程，池塘变得更大，所以改名为田贯湖。
","XMESS_0010","机翻辅助：

之后，因为灌溉用的蓄水工程，池塘变得更大，所以改名为田贯湖。


后来，由于灌溉用的蓄水工程，池塘变大，改称为田贯湖。


之后，由于灌溉用的蓄水工程，池子变大了，被改称为田贯湖。"
"XMESS_0011","所以呢？","XMESS_0011","机翻辅助：

所以呢？"
"XMESS_0012","虽然名字是田贯湖，
但是和动物的狸猫完全没有关系。","XMESS_0012","机翻辅助：

虽然名字是田贯湖，
但是和动物的狸猫完全没有关系。

虽然名字是田贯湖，
但是和动物狸猫完全没有关系。

虽然名字叫田贯湖，
但据说和狸猫没有任何关系。"
"XMESS_0013","哎！？是这样啊。","XMESS_0013","机翻辅助：

哎！？是这样啊。

啊！？是啊。

诶！？是这样啊。"
"XMESS_0014","……
但是食材最好要注意，
所以不是坏的谎言。","XMESS_0014","机翻辅助：

……
但是食材最好要注意，
所以不是坏的谎言。

……
不过食材还是小心为好，
所以也不是什么坏谎言。

……不过，食材还是小心为上，所以这个谎言也不坏。"
"XMESS_0015","呜呜，又被骗了。","XMESS_0015","机翻辅助：

呜呜，又被骗了。

嗯，又被骗了。

唔，又被骗了。"
