"source","target","id","developer_comments"
"XMESS_0000","我回来了！","XMESS_0000","机翻辅助：

我回来了！

只是啊！"
"XMESS_0001","欢迎回来。","XMESS_0001","机翻辅助：

欢迎回来。

你回来啦。

你回来了。"
"XMESS_0002","我开动了！","XMESS_0002","机翻辅助：

我开动了！"
"XMESS_0003","啊呣……好好吃！","XMESS_0003","机翻辅助：

啊呣……好好吃！

啊……喂！

唔……好好吃！"
"XMESS_0004","要细嚼慢咽哦。","XMESS_0004","机翻辅助：

要细嚼慢咽哦。

你好好嚼着吃啊。

吃的时候要细嚼慢咽。"
"XMESS_0005","我知道啦。","XMESS_0005","机翻辅助：

我知道啦。

我知道哦。

我知道。"
"XMESS_0006","抚子，
这个周末的露营要去哪里？","XMESS_0006","机翻辅助：

抚子，
这个周末的露营要去哪里？

抚子，
这个周末你要去哪里露营？"
"XMESS_0007","长野的高远孤挺高原！","XMESS_0007","机翻辅助：

长野的高远孤挺高原！

长野的高波奇高原哟！

长野的高地高原！"
"XMESS_0008","哦，长野县啊。
那又远了。","XMESS_0008","机翻辅助：

哦，长野县啊。
那又远了。

哇，长野县啊。
那又远了。

哦，长野县啊，那还真远呢。"
"XMESS_0009","没问题吗？","XMESS_0009","机翻辅助：

没问题吗？

没事吧？

你没事吧？"
"XMESS_0010","当天我和顾问鸟羽老师会开车接送，
放心吧。","XMESS_0010","机翻辅助：

当天我和顾问鸟羽老师会开车接送，
放心吧。

当天我会和顾问鸟羽老师开车接送，
你放心。

当天，我和顾问鸟羽老师开车接送，请放心。"
"XMESS_0011","嗯，既然姐姐和老师都在……","XMESS_0011","机翻辅助：

嗯，既然姐姐和老师都在……

要是姐姐和老师也一起的话……

嗯，姐姐和老师也在一起的话……"
"XMESS_0012","抚子，你要感谢姐姐哦？","XMESS_0012","机翻辅助：

抚子，你要感谢姐姐哦？

抚子，你要感谢姐姐啊。

抚子，谢谢姐姐吧？"
"XMESS_0013","姐姐，谢谢你总是这么照顾我！","XMESS_0013","机翻辅助：

姐姐，谢谢你总是这么照顾我！

姐姐，一直以来谢谢你！"
"XMESS_0014","不过，若不是有这种机会，我根本不会来这种地方，所以这趟兜风也算是不错啦……

","XMESS_0014","机翻辅助：

不过，若不是有这种机会，我根本不会来这种地方，所以这趟兜风也算是不错啦……



不过，没有这样的机会是不会去的，而且兜风很好，所以也无所谓……



嗯，如果不是这样的机会就不去的地方，因为是很好的兜风，所以没关系……"
"XMESS_0015","高边缘高原因为海拔高而寒冷，
所以要做好防寒对策哦。","XMESS_0015","机翻辅助：

高边缘高原因为海拔高而寒冷，
所以要做好防寒对策哦。

高波奇高原海拔又高又冷，
所以要做好防寒对策。

高堡奇高原海拔高，很冷，所以要做好防寒措施。"
"XMESS_0016","好——的。","XMESS_0016","机翻辅助：

好——的。

是—。

是的。"
