"source","target","id","developer_comments"
"XMESS_0000","好，
大家都到齐了。
今天聚集在一起的不是别人。","XMESS_0000","机翻辅助：

好，
大家都到齐了。
今天聚集在一起的不是别人。

好，大家都到齐了。
今天召集大家来，不为别的。


好了，大家都到齐了。
今天聚集在一起的，不是别的。"
"XMESS_0001","今天我想在明天的圣诞露营开始前，
先祈求交通安全。","XMESS_0001","机翻辅助：

今天我想在明天的圣诞露营开始前，
先祈求交通安全。

今天我想在明天举办克里坎之前，
祈祷交通安全。

今天想在明天的倒计时开始之前，
先为交通安全祈祷。"
"XMESS_0002","话虽如此……
我已经买了交通安全的护身符。","XMESS_0002","机翻辅助：

话虽如此……
我已经买了交通安全的护身符。

话虽如此……
已经购买了交通安全的护身符。

话虽如此……
我已经买了交通安全护身符。"
"XMESS_0003","就算你们不参加圣诞露营，各自许愿也没关系。

","XMESS_0003","机翻辅助：

就算你们不参加圣诞露营，各自许愿也没关系。



不管是栗子还是栗子，各自做自己想做的愿望也没关系。



无论是否被禁止，每个人都可以许愿。"
"XMESS_0004","原来如此。
是这么回事啊。","XMESS_0004","机翻辅助：

原来如此。
是这么回事啊。

原来如此啊。
你做了那样的事吗。

原来如此。
做了那样的事吗？"
"XMESS_0005","突然被叫去神社的时候，
我还以为是什么事。","XMESS_0005","机翻辅助：

突然被叫去神社的时候，
我还以为是什么事。

突然说要去神社的时候，
我还以为是什么呢。

突然说要去神社跟我去的时候，
我还以为是什么呢。"
"XMESS_0006","很遗憾，
岛村和抚子已经回家了。","XMESS_0006","机翻辅助：

很遗憾，
岛村和抚子已经回家了。

很遗憾，
抚子和抚子已经回家了。

很遗憾，
岛林和抚子已经回家了。"
"XMESS_0007","那么，
马上就拜托神了吧。","XMESS_0007","机翻辅助：

那么，
马上就拜托神了吧。

那就赶快去求神拜佛吧。


那就赶快拜完神吧。"
"XMESS_0008","说得也是，我也得回家准备一下才行。

","XMESS_0008","机翻辅助：

说得也是，我也得回家准备一下才行。



是啊。
我也有必须回去准备的事情。


是啊。
我也得回去准备。"
"XMESS_0009","那么，我来投香油钱……","XMESS_0009","机翻辅助：

那么，我来投香油钱……

那么，把香资投进去……

那么，放入香钱……"
"XMESS_0010","（希望考试能考出好成绩。）","XMESS_0010","机翻辅助：

（希望考试能考出好成绩。）

（祝你在考试中取得好成绩）

（希望能在考试中取得好成绩）"
"XMESS_0011","（希望路上不要发生意外。）","XMESS_0011","机翻辅助：

（希望路上不要发生意外。）

（希望路上没有事故）

（路上不要发生事故）"
"XMESS_0012","（希望竹轮能健健康康地长大。）","XMESS_0012","机翻辅助：

（希望竹轮能健健康康地长大。）

（希望竹轮能健康地度过）

（祝竹轮健康）"
"XMESS_0013","（希望可以找到好酒。）","XMESS_0013","机翻辅助：

（希望可以找到好酒。）

（希望能遇到好酒。）

（希望能遇到好酒）"
"XMESS_0014","（希望这次露营可以玩得开心。）","XMESS_0014","机翻辅助：

（希望这次露营可以玩得开心。）

（希望这是一个快乐的夏令营）

（祝您露营愉快）"
"XMESS_0015","大家都许愿了吗？","XMESS_0015","机翻辅助：

大家都许愿了吗？

大家都好好地许愿了吗。"
"XMESS_0016","都许了哦。","XMESS_0016","机翻辅助：

都许了哦。

祈愿的日子。

希望了。"
"XMESS_0017","已经很完美了。","XMESS_0017","机翻辅助：

已经很完美了。

已经很棒了。

已经很好了。"
"XMESS_0018","那么，我送大家到车站。
请坐我的车吧。","XMESS_0018","机翻辅助：

那么，我送大家到车站。
请坐我的车吧。

那么我送你去车站。
请乘坐我的车。

那么我送你去车站。
请坐我的车。"
"XMESS_0019","好——！","XMESS_0019","机翻辅助：

好——！

哈——好！

啊——！"
