"source","target","id","developer_comments"
"XMESS_0000","离克里营还有两天啊。","XMESS_0000","机翻辅助：

离克里营还有两天啊。

离栗子还有两天啊。

离结束还有2天啊。"
"XMESS_0001","虽然我非常期待，
但同时也有一点点不安。","XMESS_0001","机翻辅助：

虽然我非常期待，
但同时也有一点点不安。

虽然很期待，
但也有点不安吧。

虽然非常期待，
但也有些许不安。"
"XMESS_0002","啊啊，总觉得心情好复杂。","XMESS_0002","机翻辅助：

啊啊，总觉得心情好复杂。

啊，总觉得心情很复杂。"
"XMESS_0003","咦？
话说回来，我搭姐姐的车去没问题吗？
还是应该搭鸟羽老师的车？","XMESS_0003","机翻辅助：

咦？
话说回来，我搭姐姐的车去没问题吗？
还是应该搭鸟羽老师的车？

咦？这么说来，我要坐姐姐的车，这样可以吗？"
"XMESS_0004","既然我是野团成员，
是不是应该搭鸟羽老师的车才对？","XMESS_0004","机翻辅助：

既然我是野团成员，
是不是应该搭鸟羽老师的车才对？

如果是野kuru成员的话，
应该乘坐鸟羽老师的车吧？

既然是野来的成员，
就应该坐鸟羽老师的车吧？"
"XMESS_0005","可是，
姐姐的车里没有我，
好像也很奇怪？","XMESS_0005","机翻辅助：

可是，
姐姐的车里没有我，
好像也很奇怪？

但是，
姐姐的车里没有我，
果然很奇怪吧？

但是，
姐姐的车里没有我，
是不是很奇怪？"
"XMESS_0006","对了！
去问小凛吧！","XMESS_0006","机翻辅助：

对了！
去问小凛吧！

对了！
试着问凛吧！

对了！
去问问凛吧！"
"XMESS_0007","没关系，
什么都别想。","XMESS_0007","机翻辅助：

没关系，
什么都别想。

好吧，
什么都别想

好吧，
你什么都别想了"
"XMESS_0008","只要乖乖坐上樱姐姐的车就好。
","XMESS_0008","机翻辅助：

只要乖乖坐上樱姐姐的车就好。


默默坐上樱姐姐的车就好了


默默地坐樱姐姐花的车就好了"
"XMESS_0009","嗯，我知道了（*ﾟ∀ﾟ*）。","XMESS_0009","机翻辅助：

嗯，我知道了（*ﾟ∀ﾟ*）。

嗯，知道了（*共享*）

嗯，我知道了（*゚∀゚*）"
"XMESS_0010","好啊，
是樱姐姐的车","XMESS_0010","机翻辅助：

好啊，
是樱姐姐的车

好啊，
这是樱姐姐花的车

樱姐姐的车很棒哦。"
"XMESS_0011","嗯，
我知道（*ﾟ∀ﾟ*）。","XMESS_0011","机翻辅助：

嗯，
我知道（*ﾟ∀ﾟ*）。

嗯，
我知道（*共享*）/

嗯，
我明白了（*゚∀゚*）/"
