"source","target","id","developer_comments"
"XMESS_0000","早安。","XMESS_0000","机翻辅助：

早安。

早上好。"
"XMESS_0001","哦，早啊。","XMESS_0001","机翻辅助：

哦，早啊。

早上好。

哦，早上好。"
"XMESS_0002","早安，
抚子。","XMESS_0002","机翻辅助：

早安，
抚子。

早上好，
抚子。"
"XMESS_0003","大家早～","XMESS_0003","机翻辅助：

大家早～

大家早。

大家早上好。"
"XMESS_0004","早安。
是抚子姐姐开车送你来的吗？
","XMESS_0004","机翻辅助：

早安。
是抚子姐姐开车送你来的吗？


早上好。
是让我搭抚子姐姐的车来的吗？


早上好。
是抚子姐姐的车载你来的？"
"XMESS_0005","嗯，
露营的时候一直承蒙关照。","XMESS_0005","机翻辅助：

嗯，
露营的时候一直承蒙关照。

嗯，露营的时候，她常常照顾我。


嗯，露营的时候，总是承蒙您的关照。"
"XMESS_0006","嗷呜。","XMESS_0006","机翻辅助：

嗷呜。

哇哦。"
"XMESS_0007","哦哦，竹轮也跟我们一起去啊。","XMESS_0007","机翻辅助：

哦哦，竹轮也跟我们一起去啊。

哦，竹轮也在一起吗。

哦，竹轮也一起来了。"
"XMESS_0008","很好很好。","XMESS_0008","机翻辅助：

很好很好。

好吧好吧。"
"XMESS_0009","哈哈哈哈。","XMESS_0009","机翻辅助：

哈哈哈哈。

哈哈哈。"
"XMESS_0010","早安。
大家都到啦？","XMESS_0010","机翻辅助：

早安。
大家都到啦？

早上好。
大家已经聚集在一起了吗？

早上好。
大家都到齐了吗？"
"XMESS_0011","凛好像快没油了。
快点把机车放在这里啊？","XMESS_0011","机翻辅助：

凛好像快没油了。
快点把机车放在这里啊？

凛好像是最后。
快点把摩托车放下吧？

凛像最后一样。
快点把摩托车放上去吧？"
"XMESS_0012","好。","XMESS_0012","机翻辅助：

好。

嗯。

哦。"
"XMESS_0013","鸟羽老师，早安。","XMESS_0013","机翻辅助：

鸟羽老师，早安。

鸟羽老师，早上好。"
"XMESS_0014","早安，各务原同学。
不好意思，今天一大早就来打扰。","XMESS_0014","机翻辅助：

早安，各务原同学。
不好意思，今天一大早就来打扰。

早上好，各务原同学。
今天从早上开始就很抱歉。

早上好，各务原同学。
今天从早上开始对不起。"
"XMESS_0015","哪里，
听说主办圣诞营的人是我妹妹，
不用太在意。","XMESS_0015","机翻辅助：

哪里，
听说主办圣诞营的人是我妹妹，
不用太在意。

不，
听说制定圣诞夏令营计划的是我妹妹，
请不要在意。

不，
听说制定圣诞露营计划的是我妹妹，
请不要在意。"
"XMESS_0016","谢谢。
那么——","XMESS_0016","机翻辅助：

谢谢。
那么——

谢谢那么——"
"XMESS_0017","鸟羽老师，
小凛去停车了，
还没回来。","XMESS_0017","机翻辅助：

鸟羽老师，
小凛去停车了，
还没回来。

鸟羽老师，
去放摩托车的凛，
还没来这里。

鸟羽老师，去放摩托车的凛还没来。"
"XMESS_0018","咦……？","XMESS_0018","机翻辅助：

咦……？

啊……？

诶……？"
"XMESS_0019","不好意思，我来晚了。","XMESS_0019","机翻辅助：

不好意思，我来晚了。

对不起，我来晚了。"
"XMESS_0020","这样就到齐了吧，
我们出发。","XMESS_0020","机翻辅助：

这样就到齐了吧，
我们出发。

这样全员到齐了。
那我们出发吧。

这样大家都到齐了呢。
那我们出发吧。"
"XMESS_0021","小凛，你这么晚才来，刚才在做什么？
","XMESS_0021","机翻辅助：

小凛，你这么晚才来，刚才在做什么？


凛，虽然很晚了，但是你在做什么？


凛，这么晚了，你在干什么呢？"
"XMESS_0022","啊啊，我去了一下厕所。
抱歉我来晚了。","XMESS_0022","机翻辅助：

啊啊，我去了一下厕所。
抱歉我来晚了。

啊，去一下厕所。
对不起，我来晚了。

啊，去一下厕所。
对不起，我迟到了。"
"XMESS_0023","大垣同学和犬山同学，
请坐我的车。","XMESS_0023","机翻辅助：

大垣同学和犬山同学，
请坐我的车。

大垣同学和犬山同学，
请乘坐我的车。

大垣同学和犬山同学请坐我的车。"
"XMESS_0024","小凛、小惠那，
你们坐我的车吧。","XMESS_0024","机翻辅助：

小凛、小惠那，
你们坐我的车吧。

凛，惠那，坐我的车吧。


凛，惠那，坐我的车。"
"XMESS_0025","姐姐，那我呢？","XMESS_0025","机翻辅助：

姐姐，那我呢？

姐姐，我呢？"
"XMESS_0026","当然是坐我的车啊。
好了，快点上车吧。","XMESS_0026","机翻辅助：

当然是坐我的车啊。
好了，快点上车吧。

一定是我的车吧。
快上车。

当然是我的车了。
快上车。"
"XMESS_0027","嗯，我知道了！","XMESS_0027","机翻辅助：

嗯，我知道了！

嗯，知道了！"
"XMESS_0028","那就朝本栖湖出发～！","XMESS_0028","机翻辅助：

那就朝本栖湖出发～！

那就去本栖湖吧～！"
"XMESS_0029","那就朝山麓露营场出发～！","XMESS_0029","机翻辅助：

那就朝山麓露营场出发～！

那就去山脚下的露营地吧～！

那就向山麓露营地前进吧～！"
"XMESS_0030","那就朝东伍德露营场出发～！
","XMESS_0030","机翻辅助：

那就朝东伍德露营场出发～！


那就去伊斯特伍德露营地吧～！


那就去伊斯特伍德露营场吧～！"
"XMESS_0031","那就朝高波及高原出发～！","XMESS_0031","机翻辅助：

那就朝高波及高原出发～！

那就去高波奇高原吧～！

那就去高博奇高原吧～！"
"XMESS_0032","那就朝四尾连湖出发～！","XMESS_0032","机翻辅助：

那就朝四尾连湖出发～！

那就去四尾连湖吧～！"
"XMESS_0033","那就朝阵马形山出发～！","XMESS_0033","机翻辅助：

那就朝阵马形山出发～！

那就去阵马形山吧～！"
