"source","target","id","developer_comments"
"XCMNT_0017","“正在前往小金汤”","XCMNT_0017","机翻辅助：

“正在前往小金汤”

“顺路去洗澡”

“顺道去温泉的时候”"
"XMESS_0000","这附近好像有一座光前寺，
以狗狗寺庙闻名。","XMESS_0000","机翻辅助：

这附近好像有一座光前寺，
以狗狗寺庙闻名。

这附近的光前寺，
在碗寺很有名。

这附近有个叫光前寺的地方，
据说是有名的旺古寺。"
"XMESS_0001","供奉在那座寺庙的早太郎，可是从长野千里迢迢来到静冈打倒妖猴的名犬哦。

","XMESS_0001","机翻辅助：

供奉在那座寺庙的早太郎，可是从长野千里迢迢来到静冈打倒妖猴的名犬哦。



供奉在那座寺庙里的早太郎，是从长野远道而来静冈打倒妖怪猴子的名犬。



那个寺庙里供奉的早太郎，就是从长野千里迢迢跑到静冈打败猴子的名犬。"
"XMESS_0002","在长野好像叫早太郎，在静冈好像叫静冈太郎。”

","XMESS_0002","机翻辅助：

在长野好像叫早太郎，在静冈好像叫静冈太郎。”



在长野被称为早太郎、静冈和湿太郎吧。



在长野被称为早太郎，在静冈也被称为疾病太郎。"
"XMESS_0003","静冈啊～～
真希望哪天能在静冈露营。","XMESS_0003","机翻辅助：

静冈啊～～
真希望哪天能在静冈露营。

静冈啊。
我想什么时候在静冈露营。

静冈啊。
我想什么时候去静冈露营。"
"XMESS_0004","在静冈的话，
海边的露营什么的也不错。","XMESS_0004","机翻辅助：

在静冈的话，
海边的露营什么的也不错。

静冈的话，
海边的露营也不错。

在静冈的海边露营好像不错～～"
"XMESS_0005","喂，抚子。
姐姐不一起进去吗？","XMESS_0005","机翻辅助：

喂，抚子。
姐姐不一起进去吗？

欸，抚子，姐姐不一起泡吗？"
"XMESS_0006","嗯，她说送我们过来之后，要一个人慢慢泡。”
","XMESS_0006","机翻辅助：

嗯，她说送我们过来之后，要一个人慢慢泡。”


嗯，送了我们之后，一个人慢慢地进去。


嗯，送走我们后，一个人慢慢进去。"
"XMESS_0007","哦～～真优雅～～","XMESS_0007","机翻辅助：

哦～～真优雅～～

诶，好优雅啊～

啊，真优雅啊～"
"XMESS_0008","呼～～～～……","XMESS_0008","机翻辅助：

呼～～～～……

啊～～～……

哈～～～……"
"XMESS_0009","这温泉真棒。","XMESS_0009","机翻辅助：

这温泉真棒。

洗澡水真不错。

好热水啊。"
"XMESS_0010","风景也超棒的。","XMESS_0010","机翻辅助：

风景也超棒的。

景色也很好，真是太棒了。"
"XMESS_0011","是啊，真的。","XMESS_0011","机翻辅助：

是啊，真的。

啊，真是的。"
"XMESS_0012","明明，那是驹岳吧？","XMESS_0012","机翻辅助：

明明，那是驹岳吧？

明明，那是驹岳吗？"
"XMESS_0013","这次因为预算的关系只好放弃，不过总有一天我也想去趟千叠敷卡尔。

","XMESS_0013","机翻辅助：

这次因为预算的关系只好放弃，不过总有一天我也想去趟千叠敷卡尔。



这次因为预算的关系放弃了，但总有一天也想去千叠敷卡尔。



这次因为预算的关系放弃了，但总有一天也想去千叠敷卷。"
"XMESS_0014","毕竟搭乘空中缆车还挺花钱的。
","XMESS_0014","机翻辅助：

毕竟搭乘空中缆车还挺花钱的。


坐缆车要花很多钱呢。


坐缆车要花很多钱啊。"
"XMESS_0015","哎，先不管这个……","XMESS_0015","机翻辅助：

哎，先不管这个……

嗯，姑且不论……

嗯，这个暂且不论……"
"XMESS_0016","野酷成员集合！","XMESS_0016","机翻辅助：

野酷成员集合！

野组成员集合！

野来成员集合！"
"XMESS_0017","是！","XMESS_0017","机翻辅助：

是！

押忍！"
"XMESS_0018","怎、怎么了吗？","XMESS_0018","机翻辅助：

怎、怎么了吗？

是、什么呢？

啊，什么事？"
"XMESS_0019","鸟羽老师总是我们的领队，
还有开车的……","XMESS_0019","机翻辅助：

鸟羽老师总是我们的领队，
还有开车的……

鸟羽老师，你总是负责带领我们，而且还要开车……


鸟羽老师，什么时候再带领我们，然后开车……"
"XMESS_0020","谢谢你！","XMESS_0020","机翻辅助：

谢谢你！

谢谢

谢谢！"
"XMESS_0021","咦？啊……是的。
不客气。","XMESS_0021","机翻辅助：

咦？啊……是的。
不客气。

啊、啊……是的。
不客气。

啊、啊……是。
不客气。"
"XMESS_0022","抱歉，
老是让你忍着不喝最爱的酒。","XMESS_0022","机翻辅助：

抱歉，
老是让你忍着不喝最爱的酒。

一直让你忍住最喜欢的酒，
对不起。

对不起，
我一直让你忍住了最喜欢的酒。"
"XMESS_0023","抵达露营区后，
就请各位自由活动吧。","XMESS_0023","机翻辅助：

抵达露营区后，
就请各位自由活动吧。

到了露营地的话，
请自由地伸展翅膀。"
"XMESS_0024","你们……","XMESS_0024","机翻辅助：

你们……"
"XMESS_0025","还有从今以后……","XMESS_0025","机翻辅助：

还有从今以后……

而且今后也……"
"XMESS_0026","也请多多指教！","XMESS_0026","机翻辅助：

也请多多指教！

请多关照！"
"XMESS_0027","嗯，彼此彼此。","XMESS_0027","机翻辅助：

嗯，彼此彼此。"
"XMESS_0028","呼……身体轻飘飘的。","XMESS_0028","机翻辅助：

呼……身体轻飘飘的。

啊……身体轻飘飘的。

哈……身体轻飘飘的。"
"XMESS_0029","暂时不想动了。","XMESS_0029","机翻辅助：

暂时不想动了。

暂时不想动啊。

暂时不想动。"
"XMESS_0030","凛和抚子泡过温泉，
好像都泡到软绵绵了。","XMESS_0030","机翻辅助：

凛和抚子泡过温泉，
好像都泡到软绵绵了。

凛和抚子，
在浴室里好像已经泡好了呢。

凛和抚子，
泡澡泡得跟唱歌似的。"
"XMESS_0031","不过我懂她们的心情。
一旦躺下，
感觉就再也站不起来了。","XMESS_0031","机翻辅助：

不过我懂她们的心情。
一旦躺下，
感觉就再也站不起来了。

但是我明白你的心情。
一旦躺下，
就再也站不起来了。

但是心情可以理解。
一旦躺下，
好像就站不起来了。"
