"source","target","id","developer_comments"
"XMESS_0000","小秋、小葵！","XMESS_0000","机翻辅助：

小秋、小葵！

亚希，小葵！

小晶、小葵！"
"XMESS_0001","怎么了，抚子？","XMESS_0001","机翻辅助：

怎么了，抚子？"
"XMESS_0002","你们有遇到什么好事吗？","XMESS_0002","机翻辅助：

你们有遇到什么好事吗？

有什么好事吗？"
"XMESS_0003","我把之前拍的露营照片都印出来喽！
","XMESS_0003","机翻辅助：

我把之前拍的露营照片都印出来喽！


我把之前拍的露营照片打印出来了哦！


到现在为止拍的露营照片打印出来了哟！"
"XMESS_0004","哦哦！","XMESS_0004","机翻辅助：

哦哦！

哦！

哇！"
"XMESS_0005","贴在社办的墙壁上装饰吧！","XMESS_0005","机翻辅助：

贴在社办的墙壁上装饰吧！

贴在活动室的墙上装饰吧！

贴在房间的墙壁上装饰吧！"
"XMESS_0006","嗯，不错啊。","XMESS_0006","机翻辅助：

嗯，不错啊。

啊，不错吧？"
"XMESS_0007","以后也要多拍一些，
然后贴起来！","XMESS_0007","机翻辅助：

以后也要多拍一些，
然后贴起来！

今后也要多拍，
多贴点哦！

今后也要多拍，
多贴哦！"
"XMESS_0008","虽然很赞成贴，
但是贴得太多的话打扫也会变得很辛苦，
可能有点那个吧。","XMESS_0008","机翻辅助：

虽然很赞成贴，
但是贴得太多的话打扫也会变得很辛苦，
可能有点那个吧。

我非常赞成贴，
但是贴多了打扫也会很麻烦，
可能有点那样吧。

虽然我非常赞成贴照片，但是贴太多的话，打扫也会很辛苦，感觉有点那个。"
"XMESS_0009","嗯，
这倒也是。
要贴的话只贴事先严格挑选的东西吗？","XMESS_0009","机翻辅助：

嗯，
这倒也是。
要贴的话只贴事先严格挑选的东西吗？

嗯，说得也是。
要贴的话，就先严格挑选过再贴吧。


嗯，那也是啊。
如果要贴的话，只贴事先严选的东西吧。"
"XMESS_0010","抚子，这样感觉如何？
抚子","XMESS_0010","机翻辅助：

抚子，这样感觉如何？
抚子

小抚子。
这种感觉怎么样？

抚子。
那样的感觉怎么样？"
"XMESS_0011","嗯！
我觉得很好！","XMESS_0011","机翻辅助：

嗯！
我觉得很好！"
"XMESS_0012","咦？
狗子，
你有看到我买回来的咖啡吗？","XMESS_0012","机翻辅助：

咦？
狗子，
你有看到我买回来的咖啡吗？

咦？
狗狗，
你知道我买来的咖啡吗？

咦？
狗子，
你知道我买的咖啡吗？"
"XMESS_0013","你在说什么啊？你忘记自己在来这里之前就喝光了吗？

","XMESS_0013","机翻辅助：

你在说什么啊？你忘记自己在来这里之前就喝光了吗？



你说什么。
来这里之前就喝干了？


你说什么？你来这里之前忘了喝光了吗？"
"XMESS_0014","咦？是这样吗？","XMESS_0014","机翻辅助：

咦？是这样吗？

咦？是吗？"
"XMESS_0015","欸，
小秋，
你从什么时候开始叫小葵为犬子的？","XMESS_0015","机翻辅助：

欸，
小秋，
你从什么时候开始叫小葵为犬子的？

喂，
亚希酱，
你从什么时候开始称呼葵酱为犬子的？

喂，
小晶，
你从什么时候开始叫小葵狗子的？"
"XMESS_0016","啊，这个啊。
其实从我们认识的时候，我就叫她狗子了。","XMESS_0016","机翻辅助：

啊，这个啊。
其实从我们认识的时候，我就叫她狗子了。

啊，那个啊。
其实从认识的时候开始就是狗子了。

啊，那个啊。
其实从相遇的时候开始就做了狗仔。"
"XMESS_0017","咦，是这样吗？","XMESS_0017","机翻辅助：

咦，是这样吗？

啊，是吗？"
"XMESS_0018","小秋还记得当时的事情吗？","XMESS_0018","机翻辅助：

小秋还记得当时的事情吗？

亚希还记得那时的事吗？

亚纪还记得当时的事吗？"
"XMESS_0019","嗯……","XMESS_0019","机翻辅助：

嗯……"
"XMESS_0020","好像快要想起来……
又想不起来。","XMESS_0020","机翻辅助：

好像快要想起来……
又想不起来。

好像想起来了……
想不起来。

好像想起来了……
想不起来了。"
"XMESS_0021","算了，反正应该发生过一些事情吧。","XMESS_0021","机翻辅助：

算了，反正应该发生过一些事情吧。

哎呀，发生什么事了呢。

哎呀，到底发生了什么事呢。"
"XMESS_0022","然后，
从那之后就被人叫做小狗子，
然后一直持续到现在吧。","XMESS_0022","机翻辅助：

然后，
从那之后就被人叫做小狗子，
然后一直持续到现在吧。

所以，
从那以后就被称为狗子了，
现在也一直这样吧。

于是，
从那里开始被称为狗子，
现在也在继续吧。"
"XMESS_0023","耶嘿嘿，每个人都有历史呢。","XMESS_0023","机翻辅助：

耶嘿嘿，每个人都有历史呢。

嘿嘿，人有历史啊。

嘿嘿，人是有历史的。"
"XMESS_0024","哈哈哈，
才没有那么夸张啦。","XMESS_0024","机翻辅助：

哈哈哈，
才没有那么夸张啦。

哈哈，
不是那么想的。

哈哈，
没那么简单。"
