"source","target","id","developer_comments"
"XMESS_0000","呃……是这样吗？","XMESS_0000","机翻辅助：

呃……是这样吗？

嗯……是这样的感觉吗？

呃……是这样的吗？"
"XMESS_0001","嗯，好像是。
再来要往中间折，再对折一次。
","XMESS_0001","机翻辅助：

嗯，好像是。
再来要往中间折，再对折一次。


嗯，这样就好了。
接下来好像是向中央折叠之后，再对半折。


嗯，这样好像可以。
接下来是向中间折，然后再对半折。"
"XMESS_0002","啊，我想起来了。
这边要这样……这样对吧！","XMESS_0002","机翻辅助：

啊，我想起来了。
这边要这样……这样对吧！

啊，想起来了。
把这里变成这样……是这样的吧！

啊，想起来了。
就这样……就是这样啊！"
"XMESS_0003","对对对。
到这里以后，就以杆子为轴，一边抽气——
","XMESS_0003","机翻辅助：

对对对。
到这里以后，就以杆子为轴，一边抽气——


对了对了。
到了这里之后，以杆为轴，一边排气——


对对。
到了这里，接下来就以杆为轴，一边透气一边——"
"XMESS_0004","一边转圈圈。","XMESS_0004","机翻辅助：

一边转圈圈。

滴溜溜地。

滚来滚去。"
"XMESS_0005","好，做得很好。
最后折起内里，装进袋子里就完成了。","XMESS_0005","机翻辅助：

好，做得很好。
最后折起内里，装进袋子里就完成了。

是的，做得很好。
最后把内衬叠好装进袋子里就完成了。

是的，做得很好。
最后把内衣叠起来装进袋子里就完成了。"
"XMESS_0006","完成了！","XMESS_0006","机翻辅助：

完成了！

出来了！

做好了！"
"XMESS_0007","抚子妹妹也比以前熟练许多，收帐篷的动作变得俐落许多。

","XMESS_0007","机翻辅助：

抚子妹妹也比以前熟练许多，收帐篷的动作变得俐落许多。



抚子和以前相比也变得相当熟练了。



抚子叠帐篷比以前熟练多了。"
"XMESS_0008","下次我会努力收得更快！","XMESS_0008","机翻辅助：

下次我会努力收得更快！

下次努力早点叠好！

下次为了早点叠好而努力！"
"XMESS_0009","凡事都需要练习呢。
我也得加油才行。","XMESS_0009","机翻辅助：

凡事都需要练习呢。
我也得加油才行。

只有练习啊。
我也加油。

不是有练习吗？
我也要加油。"
"XMESS_0010","抚子、犬子，
这边的保罗和佩克也洗好了。","XMESS_0010","机翻辅助：

抚子、犬子，
这边的保罗和佩克也洗好了。

抚子、犬子。
我也把保罗和佩格的污垢洗掉了。

抚子，狗子。
我也把灯杆和挂钩的污渍清除完了。"
"XMESS_0011","变得亮晶晶的呢～","XMESS_0011","机翻辅助：

变得亮晶晶的呢～

变得闪闪发光了哦。

变得闪亮了哦。"
"XMESS_0012","谢谢～
小秋、齐藤同学。","XMESS_0012","机翻辅助：

谢谢～
小秋、齐藤同学。

谢谢。
小晶，齐藤同学。

谢谢。
亚希，齐藤同学。"
"XMESS_0013","接下来只要把行李整理在一起，
确认有没有垃圾或忘记带走的东西，
就可以收队了。","XMESS_0013","机翻辅助：

接下来只要把行李整理在一起，
确认有没有垃圾或忘记带走的东西，
就可以收队了。

然后把行李集中起来，确认有没有留下垃圾和遗忘的东西就可以撤退了。



然后把行李集中起来，确认有没有垃圾和遗忘的东西就可以撤离了。"
"XMESS_0014","我要去停车场开车，
大家继续收拾吧。","XMESS_0014","机翻辅助：

我要去停车场开车，
大家继续收拾吧。

我从停车场把车开出来，
请大家继续进行撤退作业。

我从停车场把车开出来，
请大家继续进行撤离工作。"
"XMESS_0015","好——！","XMESS_0015","机翻辅助：

好——！

哈——好！

啊——！"
"XMESS_0016","这次的露营也很开心哦。
谢谢大家邀请我。","XMESS_0016","机翻辅助：

这次的露营也很开心哦。
谢谢大家邀请我。

这次露营也很开心哦。
谢谢大家邀请我。

这次的露营也很开心。
谢谢大家邀请我。"
"XMESS_0017","不客气——","XMESS_0017","机翻辅助：

不客气——

不客气。"
"XMESS_0018","呵呵呵。
齐藤似乎也渐渐明白露营的乐趣了呢。
","XMESS_0018","机翻辅助：

呵呵呵。
齐藤似乎也渐渐明白露营的乐趣了呢。


呵呵呵。
齐藤好像也明白露营的乐趣了。


呵呵呵。
齐藤好像也明白了露营的乐趣。"
"XMESS_0019","怎么样？这样你还不想加入露营社吗？

","XMESS_0019","机翻辅助：

怎么样？这样你还不想加入露营社吗？



怎么样？这样你还不想加入野来吗？



怎么样？你还不想加入野战吗？"
"XMESS_0020","唔～现在还是维持回家社好了。","XMESS_0020","机翻辅助：

唔～现在还是维持回家社好了。

嗯，现在还在回家部可以吗。

嗯，现在还是回家部好吗？"
"XMESS_0021","又被拒绝了！","XMESS_0021","机翻辅助：

又被拒绝了！"
"XMESS_0022","不过，真的好开心哦。
要是凛也能参加就好了。","XMESS_0022","机翻辅助：

不过，真的好开心哦。
要是凛也能参加就好了。

但是，真的很开心。
凛也能参加就好了。

但是，真的很开心。
要是凛也能参加就好了。"
"XMESS_0023","啊，
如果西马林按照预定参加的话，
这次的夏令营就会是第一次的6人夏令营了。","XMESS_0023","机翻辅助：

啊，
如果西马林按照预定参加的话，
这次的夏令营就会是第一次的6人夏令营了。

啊，
如果岛林按照预定参加的话，
这次的露营是第一次的6人露营。

啊啊，如果按照预定，小岛也能参加，这次的露营就是第一次六人露营了呢。"
"XMESS_0024","没想到她会感冒，
无法参加……","XMESS_0024","机翻辅助：

没想到她会感冒，
无法参加……

没想到因为感冒而不参加了……


没想到因为感冒不参加了……"
"XMESS_0025","全员集合就留待下次吧。","XMESS_0025","机翻辅助：

全员集合就留待下次吧。

全员集合等下次有机会再说吧。

全员集合，下次有机会再来吧。"
"XMESS_0026","话虽如此，我和犬子都要打工，很难找到大家都有空的日子。
","XMESS_0026","机翻辅助：

话虽如此，我和犬子都要打工，很难找到大家都有空的日子。


话虽如此，我和狗孩子都在打工，大家都很方便的日子，不是这样的吧。


话虽如此，我和狗子都在打工，不可能有所有人都方便的日子。"
"XMESS_0027","唔唔唔……！
这样一来，
我无论如何都想全员一起露营了！","XMESS_0027","机翻辅助：

唔唔唔……！
这样一来，
我无论如何都想全员一起露营了！

磨蹭……！
这样的话，
无论如何都想以全体成员露营！

咕嘟咕嘟……！
这样的话，
无论如何都想全体成员一起露营！"
"XMESS_0028","咦，有电话？","XMESS_0028","机翻辅助：

咦，有电话？

咦，电话？"
"XMESS_0029","呃，是小凛！","XMESS_0029","机翻辅助：

呃，是小凛！

是凛酱！

是，凛！"
"XMESS_0030","说曹操，曹操到。","XMESS_0030","机翻辅助：

说曹操，曹操到。

说曹操曹操曹操。

说了传闻会怎么样呢。"
"XMESS_0031","喂喂，小凛？
感冒不要紧吧！？","XMESS_0031","机翻辅助：

喂喂，小凛？
感冒不要紧吧！？

喂，凛？
感冒没事吧！？

喂，凛？
感冒不要紧！？"
"XMESS_0032","嗯，休息一天后退烧了。","XMESS_0032","机翻辅助：

嗯，休息一天后退烧了。

嗯，休息了一天烧就退了。

嗯，休息一天烧就退了。"
"XMESS_0033","这样啊，太好了。","XMESS_0033","机翻辅助：

这样啊，太好了。

那太好了。

这样啊太好了。"
"XMESS_0034","那个，抚子。
这次不能参加，对不起——","XMESS_0034","机翻辅助：

那个，抚子。
这次不能参加，对不起——

喂，抚子。
这次不能参加，对不起——

那个，抚子，这次没办法参加，对不——"
"XMESS_0035","小凛！
大家一起去露营吧！","XMESS_0035","机翻辅助：

小凛！
大家一起去露营吧！

凛酱！
大家一起去露营吧！

凛！
大家一起去露营吧！"
"XMESS_0036","啊？","XMESS_0036","机翻辅助：

啊？

什么？

是什么？"
"XMESS_0037","虽然这次很可惜，但还有下次！什么时候去？下星期？下下星期？
","XMESS_0037","机翻辅助：

虽然这次很可惜，但还有下次！什么时候去？下星期？下下星期？


这次虽然很遗憾，但是还有下次哦！什么时候去？下周？下下周？


虽然这次很遗憾，但是还有下次哦！什么时候去？下周？下下周？"
"XMESS_0038","冷静点，抚子。
得先治好感冒才行。","XMESS_0038","机翻辅助：

冷静点，抚子。
得先治好感冒才行。

冷静点，抚子。
首先要好好治好感冒啊。

冷静点，抚子。
首先得把感冒治好。"
"XMESS_0039","啊，对哦。","XMESS_0039","机翻辅助：

啊，对哦。

啊，这样啊。"
"XMESS_0040","吓、吓我一跳……","XMESS_0040","机翻辅助：

吓、吓我一跳……

吓了我一跳……

吓了一跳……"
"XMESS_0041","凛，等一下。
智能手机，要扬声器。","XMESS_0041","机翻辅助：

凛，等一下。
智能手机，要扬声器。

凛，等一下。
把手机变成扩音器。

小凛，你等一下哦，我把手机开扩音。"
"XMESS_0042","好了。
这样就能和大家对话了。","XMESS_0042","机翻辅助：

好了。
这样就能和大家对话了。

是的。
这样我就可以和大家聊天了。

是。
这样就可以和大家对话了。"
"XMESS_0043","岛村，身体状况怎么样？","XMESS_0043","机翻辅助：

岛村，身体状况怎么样？

岛玲，身体怎么样？

西马林，身体怎么样了？"
"XMESS_0044","退烧了。
这次没能参加，对不起。","XMESS_0044","机翻辅助：

退烧了。
这次没能参加，对不起。

烧退了。
这次不能参加，对不起。"
"XMESS_0045","没关系啦。
下次岛村也来参加团体露营吧。","XMESS_0045","机翻辅助：

没关系啦。
下次岛村也来参加团体露营吧。

好吧。
下一次，岛林也去玩吧。

好啊。
下次，岛林也一起去吧。"
"XMESS_0046","是啊。","XMESS_0046","机翻辅助：

是啊。"
"XMESS_0047","那么，各位。
下次团体露营，告诉我你们各自方便的日子。
","XMESS_0047","机翻辅助：

那么，各位。
下次团体露营，告诉我你们各自方便的日子。


那么，各位。
下一个活动，请告诉我各自方便的日子。


那么，各位。
下一个要去的地方，请告诉我你们各自方便的日子。"
"XMESS_0048","不行，完全无法整合……","XMESS_0048","机翻辅助：

不行，完全无法整合……

不行，完全总结不出来……

不行，完全整理不出来……"
"XMESS_0049","要所有人参加的话，
似乎没办法马上办。","XMESS_0049","机翻辅助：

要所有人参加的话，
似乎没办法马上办。

全员参加的话，
马上是不可能的。

如果大家都参加的话，
马上就不行了。"
"XMESS_0050","等期末考结束后，
大家可能比较容易聚在一起。","XMESS_0050","机翻辅助：

等期末考结束后，
大家可能比较容易聚在一起。

期末考试结束后大家可能更容易聚在一起。"
"XMESS_0051","那样的话，就会变成圣诞节的时候了。","XMESS_0051","机翻辅助：

那样的话，就会变成圣诞节的时候了。

那样的话就到圣诞节的时候了。

那样的话要到圣诞节了。"
"XMESS_0052","圣诞节……","XMESS_0052","机翻辅助：

圣诞节……"
"XMESS_0053","啊啊，圣诞节！
就是这个，小凛！","XMESS_0053","机翻辅助：

啊啊，圣诞节！
就是这个，小凛！

啊，圣诞节！
就是那个啊凛酱！

啊，圣诞节！
对了，凛！"
"XMESS_0054","大家一起办圣诞节露营吧！","XMESS_0054","机翻辅助：

大家一起办圣诞节露营吧！

大家一起去圣诞露营吧！

大家一起举办圣诞夏令营吧！"
"XMESS_0055","哦哦！
抚子，这个提议不错！","XMESS_0055","机翻辅助：

哦哦！
抚子，这个提议不错！

哦！
好主意，抚子！

噢！
好主意，抚子！"
"XMESS_0056","抱歉啦～
圣诞节我要跟男朋友一起过，所以没办法～","XMESS_0056","机翻辅助：

抱歉啦～
圣诞节我要跟男朋友一起过，所以没办法～

对不起啊。
圣诞节要和男朋友一起过，不行啊。

对不起。
圣诞节和男朋友一起过，太勉强了。"
"XMESS_0057","原来你有男朋友啊！","XMESS_0057","机翻辅助：

原来你有男朋友啊！

有男朋友了吗！

你有男朋友吗？"
"XMESS_0058","骗人的吧～","XMESS_0058","机翻辅助：

骗人的吧～

说谎的日子。

骗人的。"
"XMESS_0059","我平常都是跟家人一起过圣诞节，
不过大家一起露营好像也不错呢～","XMESS_0059","机翻辅助：

我平常都是跟家人一起过圣诞节，
不过大家一起露营好像也不错呢～

平时都是和家人一起过圣诞节，
不过大家一起露营也不错呢。

平时和家人一起过圣诞节，
大家一起露营也不错。"
"XMESS_0060","原来你有家人啊！","XMESS_0060","机翻辅助：

原来你有家人啊！

有家人吗！

原来有家人啊，你！"
"XMESS_0061","搞什么鬼啊！","XMESS_0061","机翻辅助：

搞什么鬼啊！

什么呀！

什么嘛！"
"XMESS_0062","你看起来很开心。
我也想在圣诞节露营。","XMESS_0062","机翻辅助：

你看起来很开心。
我也想在圣诞节露营。

看起来很开心呢。
我也想过圣诞露营。

好像很有趣呢。
我也想在圣诞节露营。"
"XMESS_0063","圣诞节露营。
简称圣诞营。","XMESS_0063","机翻辅助：

圣诞节露营。
简称圣诞营。

圣诞节露营。
简称清零。

圣诞节露营。
简称栗子饼。"
"XMESS_0064","小凛又如何呢？","XMESS_0064","机翻辅助：

小凛又如何呢？

凛酱怎么样？

凛怎么样呢？"
"XMESS_0065","我觉得不错。","XMESS_0065","机翻辅助：

我觉得不错。

我觉得很好。"
"XMESS_0066","那就这么决定了。
圣诞节大家都要参加，一起露营！""","XMESS_0066","机翻辅助：

那就这么决定了。
圣诞节大家都要参加，一起露营！""

那就决定了。
圣诞节全体人员参加是gurucan！

那就这么定了。
圣诞节全员参与！"
"XMESS_0067","嗯！
最棒的圣诞露营吧！","XMESS_0067","机翻辅助：

嗯！
最棒的圣诞露营吧！

嗯！
最好的圣诞夏令营吧！

嗯！让我们来一场最棒的圣诞节露营吧！"""
"XMESS_0068","哦哦——！！","XMESS_0068","机翻辅助：

哦哦——！！

哦————！！

噢————！！"
"XMESS_0069","圣诞节啊……
还很久呢。","XMESS_0069","机翻辅助：

圣诞节啊……
还很久呢。

圣诞节啊……
还早着呢。

圣诞节啊……
还差得远呢。"
"XMESS_0070","比起这个，
现在先来想想这个周末的露营要怎么办吧。","XMESS_0070","机翻辅助：

比起这个，
现在先来想想这个周末的露营要怎么办吧。

比起那个，
现在考虑这个周末的露营怎么办吧。

比起那个，
现在还是考虑这个周末的露营该怎么安排吧。"
"XMESS_0071","反正我已经考到轻型机车驾照了，
努力骑远一点——","XMESS_0071","机翻辅助：

反正我已经考到轻型机车驾照了，
努力骑远一点——

既取得了原付驾照，
又努力远行——

我考了电动车驾照，
也努力试着出远门——"
"XMESS_0072","不，还是先管理好身体状况吧。
今天就什么都别想，乖乖睡觉吧。","XMESS_0072","机翻辅助：

不，还是先管理好身体状况吧。
今天就什么都别想，乖乖睡觉吧。

不，首先是身体管理。
今天什么都不想就乖乖睡觉吧。

不，首先要管理好身体。
今天什么都不想乖乖睡觉吧。"
