"source","target","id","developer_comments"
"XMESS_0000","——然后鸟羽老师怎么说？","XMESS_0000","机翻辅助：

——然后鸟羽老师怎么说？

——那么，鸟羽老师是怎么说的？

——那么，鸟羽老师怎么说？"
"XMESS_0001","嗯～？","XMESS_0001","机翻辅助：

嗯～？

嗯？"
"XMESS_0002","周末去露营的事，
向鸟羽老师报告了吧。","XMESS_0002","机翻辅助：

周末去露营的事，
向鸟羽老师报告了吧。

我们有跟鸟羽老师报告这个周末要去露营的事吧。


我跟鸟羽老师报告了周末要去露营的事。"
"XMESS_0003","你跟老师聊了什么？","XMESS_0003","机翻辅助：

你跟老师聊了什么？

你和老师说了什么？"
"XMESS_0004","露营的事，
是向鸟羽老师报告的吧。","XMESS_0004","机翻辅助：

露营的事，
是向鸟羽老师报告的吧。

露营的事，
你向鸟羽老师报告了吧。

你们有跟鸟羽老师报告露营的事吧。"
"XMESS_0005","这次聊了什么？","XMESS_0005","机翻辅助：

这次聊了什么？

这次谈了什么？

这次说了什么？"
"XMESS_0006","只是稍微说了一下周末要去的本栖湖。
“要是能看到美丽的富士山就好了。","XMESS_0006","机翻辅助：

只是稍微说了一下周末要去的本栖湖。
“要是能看到美丽的富士山就好了。

只有稍微提到这个周末要去本栖湖而已。
像是“希望可以看到富士山的美景”之类的。

关于周末去的本栖湖稍微说了一下。
“富士山看起来很美就好了”之类的。"
"XMESS_0007","下次要去的地方是山麓露营场吗？","XMESS_0007","机翻辅助：

下次要去的地方是山麓露营场吗？

下一个目的地是山脚下的露营地吧？

下一个目的地是山麓露营地吧？"
"XMESS_0008","啊，如果告诉她这件事，气温应该会比想象中还要低，所以还是注意一下防寒比较好。

","XMESS_0008","机翻辅助：

啊，如果告诉她这件事，气温应该会比想象中还要低，所以还是注意一下防寒比较好。



啊，我把这件事告诉他了，他说气温会比想象中低，还是注意防寒比较好。



啊，说了那件事，气温会比想象的低，所以还是注意防寒比较好。"
"XMESS_0009","我们聊到周末要去的Eastwood露营场，听说那里的夜景很有名。

","XMESS_0009","机翻辅助：

我们聊到周末要去的Eastwood露营场，听说那里的夜景很有名。



我说了一点周末去伊斯特伍德露营地的话吧。
听说那个露营地以夜景闻名。


稍微说了一下周末要去的伊斯特伍德露营地吧。
那个露营地的夜景很有名。"
"XMESS_0010","下一站是长野的露营场吗？","XMESS_0010","机翻辅助：

下一站是长野的露营场吗？

下一个目的地是长野的露营地吧？

下一个目的地是长野的露营地吗？"
"XMESS_0011","啊啊，因为目的地是长野，果然还是让她有点担心。
","XMESS_0011","机翻辅助：

啊啊，因为目的地是长野，果然还是让她有点担心。


啊，因为目的地是长野，所以还是有点担心。


啊，目的地是长野，我还是有点担心。"
"XMESS_0012","尤其是高孤独高原，
那里几乎没有露营用的设施和设备。","XMESS_0012","机翻辅助：

尤其是高孤独高原，
那里几乎没有露营用的设施和设备。

特别是高堡奇高原，
几乎没有露营用的设施和设备。

特别是高波奇高原是露营用的设施和设备不多的地方。"
"XMESS_0013","啊啊，关于周末要去的四尾连湖，我稍微问了一下。
","XMESS_0013","机翻辅助：

啊啊，关于周末要去的四尾连湖，我稍微问了一下。


啊，关于周末去的四尾连湖，让我说了几句话。


啊，关于周末要去的四尾连湖，听我说了一些。"
"XMESS_0014","像是推荐的地点，
或是露营区特有的禁止事项之类的。","XMESS_0014","机翻辅助：

像是推荐的地点，
或是露营区特有的禁止事项之类的。

推荐的场所，
露营场才有的禁止事项等等。

推荐的地方和只有露营地才有的禁止事项。"
