"source","target","id","developer_comments"
"XMESS_0000","欸欸，小凛","XMESS_0000","机翻辅助：

欸欸，小凛

哎哎凛

喂喂凛"
"XMESS_0001","什么问题？","XMESS_0001","机翻辅助：

什么问题？

什么？"
"XMESS_0002","小凛的爷爷是什么样的人？
","XMESS_0002","机翻辅助：

小凛的爷爷是什么样的人？


凛的爷爷是怎样的人？


凛的爷爷是怎样的人呢？"
"XMESS_0003","就算你这么问……
我也很难用一句话形容。","XMESS_0003","机翻辅助：

就算你这么问……
我也很难用一句话形容。

无论被说成什么样的人……
一句话都很难说出口

不管别人说他是什么样的人……
很难用一句话说"
"XMESS_0004","总之对我来说是个非常好的爷爷。
","XMESS_0004","机翻辅助：

总之对我来说是个非常好的爷爷。


总之，对我来说，他是个非常好的爷爷。


总之对我来说是非常好的爷爷哦"
"XMESS_0005","哦，
既然小凛这么喜欢他","XMESS_0005","机翻辅助：

哦，
既然小凛这么喜欢他

啊，
如果凛说喜欢到那种程度的话

啊，
既然你那么喜欢凛子"
"XMESS_0006","那他肯定是个好人！
（*ﾟ∀ﾟ*）/","XMESS_0006","机翻辅助：

那他肯定是个好人！
（*ﾟ∀ﾟ*）/

我想一定是个好人！
（*共享*）/

我觉得他一定是个好人！
（*゚∀゚*）/"
"XMESS_0007","这是什么逻辑……","XMESS_0007","机翻辅助：

这是什么逻辑……

什么道理啊……

这是什么道理啊……"
"XMESS_0008","那么，明天见！","XMESS_0008","机翻辅助：

那么，明天见！"
"XMESS_0009","哦，明天见。","XMESS_0009","机翻辅助：

哦，明天见。

啊，再见"
