"source","target","id","developer_comments"
"XMESS_0000","小凛～
（*ﾟ∀ﾟ*）/","XMESS_0000","机翻辅助：

小凛～
（*ﾟ∀ﾟ*）/

凛茶（*共享*）/


凛ちゃーん（*゚∀゚*）/"
"XMESS_0001","小凛～真是的～（*＞v＜*）/
","XMESS_0001","机翻辅助：

小凛～真是的～（*＞v＜*）/


凛酱（*＞v＜*）/


（* > v < *） /"
"XMESS_0002","怎么了？","XMESS_0002","机翻辅助：

怎么了？

什么？"
"XMESS_0003","我考虑了很多候补，
下次再找你商量吧？","XMESS_0003","机翻辅助：

我考虑了很多候补，
下次再找你商量吧？

考虑了各种各样的候补，
下次再商量吧？

考虑了各种各样的候补，
下次再商量吧。"
"XMESS_0004","候补？
啊啊，去克里营的地点吗？","XMESS_0004","机翻辅助：

候补？
啊啊，去克里营的地点吗？

候补？
啊，是克里肯的目的地吗

候补？
啊，克里坎要去哪儿啊"
"XMESS_0005","对对！
拜托你了，小凛！","XMESS_0005","机翻辅助：

对对！
拜托你了，小凛！

就是那个！
拜托了，凛酱！

对，就是那个！
拜托了，凛！"
"XMESS_0006","知道了知道了。
","XMESS_0006","机翻辅助：

知道了知道了。


好啊好啊


知道了知道了"
"XMESS_0007","这种事随时都可以找我商量哦。
","XMESS_0007","机翻辅助：

这种事随时都可以找我商量哦。


这点事随时都可以商量


我随时都会和你商量的"
"XMESS_0008","哇～太好了～！
小凛，谢谢你～！","XMESS_0008","机翻辅助：

哇～太好了～！
小凛，谢谢你～！

哇，太好了！
凛酱，谢谢！

哇，太棒了！
凛，谢谢你！"
"XMESS_0009","真是的，
还以为是什么事呢。","XMESS_0009","机翻辅助：

真是的，
还以为是什么事呢。

我还以为是什么事呢


我还以为是怎么回事呢"
"XMESS_0010","欸嘿嘿嘿（*´з｀*）","XMESS_0010","机翻辅助：

欸嘿嘿嘿（*´з｀*）

嘿嘿（*´з｀*）

嘿嘿（*´柠檬` *）"
