"source","target","id","developer_comments"
"XMESS_0000","凛，
你这周末打算做什么？","XMESS_0000","机翻辅助：

凛，
你这周末打算做什么？

凛，
这个周末打算怎么办？

凛，
这周末你打算怎么办？"
"XMESS_0001","要去露营。","XMESS_0001","机翻辅助：

要去露营。

我要去露营了

我要去露营。"
"XMESS_0002","虽然还没决定要不要单独露营。
","XMESS_0002","机翻辅助：

虽然还没决定要不要单独露营。


虽然还没有决定要不要独唱


我还没决定要不要单独表演"
"XMESS_0003","这样啊？","XMESS_0003","机翻辅助：

这样啊？

是这样吗？

是吗？"
"XMESS_0004","难得有这个机会，
找个人一起去不就好了。","XMESS_0004","机翻辅助：

难得有这个机会，
找个人一起去不就好了。

难得邀请谁去就好了


好不容易约个人去不就好了"
"XMESS_0005","凛，
你这周末果然要去露营吗？","XMESS_0005","机翻辅助：

凛，
你这周末果然要去露营吗？

凛，
这个周末还是露营？

凛，
这周末还是去露营吗？"
"XMESS_0006","嗯，
我正在考虑要跟谁去哪里。","XMESS_0006","机翻辅助：

嗯，
我正在考虑要跟谁去哪里。

我在想你要和谁去哪里


我还在想和谁一起去哪里。"
"XMESS_0007","齐藤也要来吗？","XMESS_0007","机翻辅助：

齐藤也要来吗？

齐藤也来？

齐藤也来吗？"
"XMESS_0008","抱歉，这周不行，下周或许可以。
","XMESS_0008","机翻辅助：

抱歉，这周不行，下周或许可以。


对不起，这周不行，下周的话也许能去


对不起，这周不行，下周的话可能能去"
"XMESS_0009","其实也没关系啦。","XMESS_0009","机翻辅助：

其实也没关系啦。

无所谓啦

没什么好的"
"XMESS_0010","反正也没必要勉强跟谁一起去。
","XMESS_0010","机翻辅助：

反正也没必要勉强跟谁一起去。


也没有必要勉强和谁一起去


没有必要和别人一起去"
"XMESS_0011","虽然嘴上这么说，
但其实你很寂寞吧。","XMESS_0011","机翻辅助：

虽然嘴上这么说，
但其实你很寂寞吧。

说那样的话真的很寂寞


说那种话其实很寂寞的"
"XMESS_0012","闭嘴。","XMESS_0012","机翻辅助：

闭嘴。

闭嘴"
"XMESS_0013","也可以跟野酷露一起露营哦。
","XMESS_0013","机翻辅助：

也可以跟野酷露一起露营哦。


也有和野战一起露营的方法哦


野克尔和联合露营也可以。"
"XMESS_0014","跟野酷露一起露营啊。","XMESS_0014","机翻辅助：

跟野酷露一起露营啊。

联合露营啊

联合夏令营啊"
"XMESS_0015","嗯，我会考虑看看。","XMESS_0015","机翻辅助：

嗯，我会考虑看看。

算了，我考虑考虑吧

嗯，我考虑一下吧"
"XMESS_0016","啊，对了。","XMESS_0016","机翻辅助：

啊，对了。

啊，对了"
"XMESS_0017","野酷露的某个人说这周末的露营要请假。
","XMESS_0017","机翻辅助：

野酷露的某个人说这周末的露营要请假。


有人说这周末的露营是送行的


野库尔的某人说这周末的夏令营要送他。"
"XMESS_0018","记得她好像有说过类似的话。
","XMESS_0018","机翻辅助：

记得她好像有说过类似的话。


我记得你说过那样的话


好像说过那样的话"
"XMESS_0019","好像有说过类似的话。
","XMESS_0019","机翻辅助：

好像有说过类似的话。


好像说过那样的话


我记得你说过那样的话"
"XMESS_0020","好像没说（´e“）
","XMESS_0020","机翻辅助：

好像没说（´e“）


好像没说（´`）


又好像没有（´エ´）。"
"XMESS_0021","到底是怎样啦。","XMESS_0021","机翻辅助：

到底是怎样啦。

是哪一个

哪边？"
"XMESS_0022","小凛，
你可以约我哦？","XMESS_0022","机翻辅助：

小凛，
你可以约我哦？

凛，
可以邀请我吗？

凛，
你可以邀请我吗？"
"XMESS_0023","这周末耶，
真的没问题吗？","XMESS_0023","机翻辅助：

这周末耶，
真的没问题吗？

这周末真的没事吗？"
"XMESS_0024","嗯，没问题！","XMESS_0024","机翻辅助：

嗯，没问题！

嗯，没关系！"
"XMESS_0025","我知道了，
那我会积极考虑看看。","XMESS_0025","机翻辅助：

我知道了，
那我会积极考虑看看。

既然知道了，
那就积极探讨

好吧，
那我就向前看"
"XMESS_0026","听你这么一说，
的确……","XMESS_0026","机翻辅助：

听你这么一说，
的确……

这样说确实


这么说来确实"
"XMESS_0027","这周末的话，
或许会来不及准备。","XMESS_0027","机翻辅助：

这周末的话，
或许会来不及准备。

这个周末可能来不及准备


这周末可能来不及准备"
"XMESS_0028","那就没办法了，
下次有机会再说吧。","XMESS_0028","机翻辅助：

那就没办法了，
下次有机会再说吧。

那也没办法，
改天再找机会吧

那就没办法了下次有机会吧"
"XMESS_0029","了解！","XMESS_0029","机翻辅助：

了解！

明白！"
"XMESS_0030","小凛，
你可以约我哦！","XMESS_0030","机翻辅助：

小凛，
你可以约我哦！

凛，
可以邀请我哦！

凛，
你可以邀请我哦！"
"XMESS_0031","干嘛突然这么说？","XMESS_0031","机翻辅助：

干嘛突然这么说？

什么呀，突然

什么嘛，突然"
"XMESS_0032","你想一起去吗？","XMESS_0032","机翻辅助：

你想一起去吗？

想一起去吗？"
"XMESS_0033","当然！","XMESS_0033","机翻辅助：

当然！"
"XMESS_0034","这样啊，
那我会考虑看看。","XMESS_0034","机翻辅助：

这样啊，
那我会考虑看看。

是吗，
那我考虑考虑吧

这样啊那我考虑一下吧"
"XMESS_0035","呃……","XMESS_0035","机翻辅助：

呃……

嗯、嗯

呃"
"XMESS_0036","啊，这周末吗！
抱歉，这周不行。","XMESS_0036","机翻辅助：

啊，这周末吗！
抱歉，这周不行。

啊，这周啊！
对不起，这周不行"
"XMESS_0037","这样啊。","XMESS_0037","机翻辅助：

这样啊。

这样啊

是吗"
"XMESS_0038","欸嘿嘿，抱歉哦。","XMESS_0038","机翻辅助：

欸嘿嘿，抱歉哦。

嘿嘿，对不起

嘿嘿，对不起啊"
