"source","target","id","developer_comments"
"XMESS_0000","大家还醒着吗？","XMESS_0000","机翻辅助：

大家还醒着吗？

大家还没起床吗？"
"XMESS_0001","醒着哦。","XMESS_0001","机翻辅助：

醒着哦。

醒着呢

他醒了"
"XMESS_0002","我也醒着。","XMESS_0002","机翻辅助：

我也醒着。

同样

同样的"
"XMESS_0003","其实我也醒着。","XMESS_0003","机翻辅助：

其实我也醒着。

其实我也是

事实上，我也想"
"XMESS_0004","小凛已经睡了吗？
","XMESS_0004","机翻辅助：

小凛已经睡了吗？


凛酱已经睡了吗？


凛已经睡了吗？"
"XMESS_0005","不愧是芝麻凛，
完全不为所动。","XMESS_0005","机翻辅助：

不愧是芝麻凛，
完全不为所动。

不愧是芝麻凛，
一点也不动摇

不愧是芝麻凛一点也不动"
"XMESS_0006","真不愧是自诩为独行侠的人。
","XMESS_0006","机翻辅助：

真不愧是自诩为独行侠的人。


不要对伊达摆出独奏糖果的样子


别装模作样地装模作样"
"XMESS_0007","我本来就没自诩！","XMESS_0007","机翻辅助：

我本来就没自诩！

根本就没有装模作样！

本来就不装腔作势！"
"XMESS_0008","凛，你醒着啊？","XMESS_0008","机翻辅助：

凛，你醒着啊？

凛，起床了吗？

凛，你醒了？"
"XMESS_0009","嗯，是啊。","XMESS_0009","机翻辅助：

嗯，是啊。

啊，差不多吧

啊，算了吧"
"XMESS_0010","难得有这个机会，
来确认一下明天的行程吧。","XMESS_0010","机翻辅助：

难得有这个机会，
来确认一下明天的行程吧。

难得有机会，
明天再确认一下吧

难得明天确认一下吧"
"XMESS_0011","明天先在学校集合。","XMESS_0011","机翻辅助：

明天先在学校集合。

明天先在学校集合

明天先到学校集合"
"XMESS_0012","然后分成两辆车前往目的地。
","XMESS_0012","机翻辅助：

然后分成两辆车前往目的地。


从那里分乘两辆车去当地


从那里分乘两辆车去那里。"
"XMESS_0013","老师的车上有明明跟小葵。
","XMESS_0013","机翻辅助：

老师的车上有明明跟小葵。


老师的车里有明明和葵


老师的车上坐着明明和葵"
