"source","target","id","developer_comments"
"XCMNT_0018","“露营当天早上”","XCMNT_0018","机翻辅助：

“露营当天早上”

“露营当天的早上”"
"XMESS_0000","小凛～
我来接你了～","XMESS_0000","机翻辅助：

小凛～
我来接你了～

凛，
我来接你了。"
"XMESS_0001","早安，抚子。","XMESS_0001","机翻辅助：

早安，抚子。

早上好，抚子。"
"XMESS_0002","既然要特地绕来我家，
直接在集合地点碰面不就好了？","XMESS_0002","机翻辅助：

既然要特地绕来我家，
直接在集合地点碰面不就好了？

与其特意来我家，
在当地集合不就好了吗？

特意来我家的话，
在当地集合也可以吧？"
"XMESS_0003","不，
这种麻烦也是乐趣之一哦。","XMESS_0003","机翻辅助：

不，
这种麻烦也是乐趣之一哦。

不。
这种工夫也是一种乐趣。

没有。
这样的工夫也是值得期待的。"
"XMESS_0004","是啊，
说得真好。","XMESS_0004","机翻辅助：

是啊，
说得真好。

是啊。
不是很好吗。

是啊。
说得真不错啊。"
"XMESS_0005","嘿嘿。","XMESS_0005","机翻辅助：

嘿嘿。"
"XMESS_0006","樱姐姐，早安。","XMESS_0006","机翻辅助：

樱姐姐，早安。

樱姐姐，早上好。"
"XMESS_0007","今天要到朝雾高原对吧。
来，你们两个快点上车。","XMESS_0007","机翻辅助：

今天要到朝雾高原对吧。
来，你们两个快点上车。

今天是去朝雾高原吧。
来，两个人都快上车。

今天到朝雾高原了呢。
那么，两个人都快上车。"
"XMESS_0008","好——！","XMESS_0008","机翻辅助：

好——！

哈——好！

啊——！"
"XCMNT_0069","“露营当天早上”","XCMNT_0069","机翻辅助：

“露营当天早上”

“露营当天的早上”"
"XMESS_0009","抚子应该已经告诉过你们了，这次的集训地点是朝雾高原露营场。

","XMESS_0009","机翻辅助：

抚子应该已经告诉过你们了，这次的集训地点是朝雾高原露营场。



我想应该有人听抚子说过，这次的集训地点是朝雾高原露营地。



我想也有从抚子那里听说的人，这次的集训地是朝雾高原露营场。"
"XMESS_0010","那里有澡堂，
而且听说很大，
大家应该都能玩得很开心。","XMESS_0010","机翻辅助：

那里有澡堂，
而且听说很大，
大家应该都能玩得很开心。

浴室也有，
总之很宽敞，
我想大家都能享受。

也有浴室，
总之好像很宽敞，
大家都很开心。"
"XMESS_0011","是吗？
听到这里，我越来越期待了。","XMESS_0011","机翻辅助：

是吗？
听到这里，我越来越期待了。

是吗？
听你这么说，我更期待了。

是吗？
听了那个，我越来越期待了。"
"XMESS_0012","各位，准备好了吗？
差不多该出发了。","XMESS_0012","机翻辅助：

各位，准备好了吗？
差不多该出发了。

大家准备好了吗？
我们该出发了。

大家准备好了吗？
我们差不多该出发了。"
"XMESS_0013","是！","XMESS_0013","机翻辅助：

是！

押忍！"
"XCMNT_0116","“露营当天早上”","XCMNT_0116","机翻辅助：

“露营当天早上”

“露营当天的早上”"
"XMESS_0014","我差不多要出发了，
你们两个都准备好了吗？","XMESS_0014","机翻辅助：

我差不多要出发了，
你们两个都准备好了吗？

我想差不多该走了，
两个人都准备好了吗？

差不多该走了，
两个人都准备好了吗？"
"XMESS_0015","是的，没有问题。","XMESS_0015","机翻辅助：

是的，没有问题。

是的，没问题。"
"XMESS_0016","我也OK了。","XMESS_0016","机翻辅助：

我也OK了。

我也OK。"
"XMESS_0017","那我去车站接惠那妹妹——","XMESS_0017","机翻辅助：

那我去车站接惠那妹妹——

那我去车站接惠那——

那么到车站去接惠那吧"
"XMESS_0018","然后前往朝雾高原露营场。
","XMESS_0018","机翻辅助：

然后前往朝雾高原露营场。


从那里去朝雾高原露营地吧。"
"XMESS_0019","嗯！","XMESS_0019","机翻辅助：

嗯！"
"XMESS_0020","（因为小凛先来过这里了。）
　","XMESS_0020","机翻辅助：

（因为小凛先来过这里了。）
　

（因为凛先来了这里）
　

（凛已经走到这里了。）"
"XMESS_0021","（今天可以走富士宫这条最短路线前往朝雾高原呢～）
　","XMESS_0021","机翻辅助：

（今天可以走富士宫这条最短路线前往朝雾高原呢～）
　

（今天经由富士宫的最短路线可以到达朝雾高原吧～）
　

（今天可以通过富士宫的最短路线去朝雾高原哦～）"
"XMESS_0022","她怎么还不来接我们呢——","XMESS_0022","机翻辅助：

她怎么还不来接我们呢——

能早点来接我吗。

能快点来接我吗？"
"XMESS_0023","今天的行程是朝雾高原。
好期待哦，竹轮。","XMESS_0023","机翻辅助：

今天的行程是朝雾高原。
好期待哦，竹轮。

今天的目的地是朝雾高原。
好期待啊，竹轮。"
"XMESS_0024","嗷呜。","XMESS_0024","机翻辅助：

嗷呜。

哇哦。"
