"source","target","id","developer_comments"
"XMESS_0000","走这条路会让人很兴奋呢。","XMESS_0000","机翻辅助：

走这条路会让人很兴奋呢。

通过这条路好兴奋啊。

经过这条路很兴奋呢。"
"XMESS_0001","是吗？","XMESS_0001","机翻辅助：

是吗？"
"XMESS_0002","因为，你看……","XMESS_0002","机翻辅助：

因为，你看……"
"XMESS_0003","穿过树林后，就可以看见富士山和本栖湖了！","XMESS_0003","机翻辅助：

穿过树林后，就可以看见富士山和本栖湖了！

穿过树林，就能看到富士山和本栖湖！

穿过树林，就能看到富士山和本栖湖了！"
"XMESS_0004","不管看几次都不会腻呢。","XMESS_0004","机翻辅助：

不管看几次都不会腻呢。

不管看多少次都不会腻啊。

无论看多少遍都不会腻呢。"
"XMESS_0005","是啊。","XMESS_0005","机翻辅助：

是啊。

嘛。

还好吧。"
"XMESS_0006","就在这里搭帐篷吧。","XMESS_0006","机翻辅助：

就在这里搭帐篷吧。

帐篷就在这附近吗。

帐篷就在这附近吧。"
"XMESS_0007","嗯！","XMESS_0007","机翻辅助：

嗯！"
"XMESS_0008","（话说回来……）","XMESS_0008","机翻辅助：

（话说回来……）

（即便如此……）"
"XMESS_0009","（和想象中一样的包租状态。
淡季最高）","XMESS_0009","机翻辅助：

（和想象中一样的包租状态。
淡季最高）

（意料之中的包租状态。
淡季最佳）

（跟想像中一样，包场状态。
淡季最棒了。）"
"XMESS_0010","小凛，搭完帐棚了，我们去散步吧。
","XMESS_0010","机翻辅助：

小凛，搭完帐棚了，我们去散步吧。


凛酱，准备结束了，去散步吧。


凛，布置完毕，我们去散步吧。"
"XMESS_0011","嗯，对啊。","XMESS_0011","机翻辅助：

嗯，对啊。

啊，是啊。"
"XMESS_0012","虽然总是湖畔一侧的帐篷网站，
但是林间网站也很有味道。","XMESS_0012","机翻辅助：

虽然总是湖畔一侧的帐篷网站，
但是林间网站也很有味道。

一直都是湖畔的帐篷站点，
林间站点也很有味道。

虽然我们总是选择湖畔的露营区，不过林间露营区也很有气氛，很不错呢。"
"XMESS_0013","是啊。
今天或许可以考虑搭在这边。
","XMESS_0013","机翻辅助：

是啊。
今天或许可以考虑搭在这边。


是啊。
今天在这附近搭帐篷也不错。


是啊。
今天可以在这附近搭帐篷。"
"XMESS_0014","但是，
厨房和浴室有点距离。
尽量近一点比较轻松。","XMESS_0014","机翻辅助：

但是，
厨房和浴室有点距离。
尽量近一点比较轻松。

不过，距离炊事区和淋浴间有点远，有点不方便。
还是尽量靠近一点比较好。


不过厨房和淋浴间有一段距离。
尽量离得近一点比较轻松。"
"XMESS_0015","而且离厕所太远也是缺点。
","XMESS_0015","机翻辅助：

而且离厕所太远也是缺点。


而且离厕所远也是减分。


而且离厕所远也是缺点。"
"XMESS_0016","唔……
这倒是。
半夜摸黑走夜路去厕所有点……","XMESS_0016","机翻辅助：

唔……
这倒是。
半夜摸黑走夜路去厕所有点……

嗯……
那确实。
半夜走黑暗的路去厕所有点……

呜……
的确如此。
半夜走在黑乎乎的路上上厕所有点……"
"XMESS_0017","算了，先不管这个——","XMESS_0017","机翻辅助：

算了，先不管这个——

唉，先不说这个——

嗯，那就算了——"
"XMESS_0018","小凛，一起拍照吧！","XMESS_0018","机翻辅助：

小凛，一起拍照吧！

凛酱，一起拍照吧！

凛，一起拍照吧！"
"XMESS_0019","好。","XMESS_0019","机翻辅助：

好。

嗯。

哦。"
"XMESS_0020","差不多该回去了。","XMESS_0020","机翻辅助：

差不多该回去了。

差不多该回去了吧。"
"XMESS_0021","啊，不过难得有这个机会，先去捡点柴火再回去吧。
","XMESS_0021","机翻辅助：

啊，不过难得有这个机会，先去捡点柴火再回去吧。


啊，但是难得，在这里捡点柴火再说吧。


啊，不过机会难得，先在这里拾柴再说吧。"
"XMESS_0022","（毕竟这里的柴火是取多少就用多少。
）","XMESS_0022","机翻辅助：

（毕竟这里的柴火是取多少就用多少。
）

（不管怎么说，这里的柴火只要拿了就可以随便使用了。
）

（毕竟这里的柴火拿多少用多少。
）"
"XMESS_0023","（“在常识范围内”。）","XMESS_0023","机翻辅助：

（“在常识范围内”。）

（“在常识范围内”）

（不过是“常识范围内”）"
