"source","target","id","developer_comments"
"XMESS_0000","那么，
首先是篝火。
那个结束后准备晚饭吧。","XMESS_0000","机翻辅助：

那么，
首先是篝火。
那个结束后准备晚饭吧。

那么，
首先是篝火。
做完之后准备晚饭吧。

那么，先来生火吧。
生完火之后，就来准备晚餐吧。"
"XMESS_0001","是啊。","XMESS_0001","机翻辅助：

是啊。"
"XMESS_0002","将小树枝堆起来……生火。","XMESS_0002","机翻辅助：

将小树枝堆起来……生火。

搭起小树枝……生火。

把小树枝搭起来……生火"
"XMESS_0003","不愧是芝麻凛，
动作很熟练。","XMESS_0003","机翻辅助：

不愧是芝麻凛，
动作很熟练。

不愧是芝麻凛。
你很熟练啊。

不愧是芝麻凛。
很熟练啊。"
"XMESS_0004","接下来要试试看吗？","XMESS_0004","机翻辅助：

接下来要试试看吗？

现在先试试看？

从这里开始先试试？"
"XMESS_0005","嗯，交给我吧。
我会变出业火哦。","XMESS_0005","机翻辅助：

嗯，交给我吧。
我会变出业火哦。

啊，交给我吧。
我会把你变成业火的。

啊，交给我吧。
我会变成业火的。"
"XMESS_0006","再怎么说，业火也太扯了吧。","XMESS_0006","机翻辅助：

再怎么说，业火也太扯了吧。

真不愧是业火啊。

业火果然不好。"
"XMESS_0007","呃……
慢慢加大树枝，送入空气。","XMESS_0007","机翻辅助：

呃……
慢慢加大树枝，送入空气。

嗯……
慢慢地把树枝变大送去空气。

呃……
慢慢地扩大树枝来输送空气。"
"XMESS_0008","哦，感觉不错嘛。","XMESS_0008","机翻辅助：

哦，感觉不错嘛。

啊，感觉不错吧？

哦，感觉不错吧？"
"XMESS_0009","明明，你真行啊。","XMESS_0009","机翻辅助：

明明，你真行啊。

喂，明明。

好厉害啊，明明。"
"XMESS_0010","呼，应该叫生火明明才对。","XMESS_0010","机翻辅助：

呼，应该叫生火明明才对。

呼，叫我火辣的明明。

呼，叫我火炽明明吧。"
"XMESS_0011","好啦，开始准备晚餐吧～","XMESS_0011","机翻辅助：

好啦，开始准备晚餐吧～

那么开始准备晚饭的日子吧。

开始做晚饭了。"
"XMESS_0012","要煮什么？","XMESS_0012","机翻辅助：

要煮什么？

做什么？"
"XMESS_0013","猜猜看吧。
反正你迟早会知道的。","XMESS_0013","机翻辅助：

猜猜看吧。
反正你迟早会知道的。

猜猜看。
我想不久就会明白的。

你猜猜看。
我想不久就会明白的。"
"XMESS_0014","首先在平底锅里煮沸热水，加入高汤和西红柿汁搅拌均匀后……

","XMESS_0014","机翻辅助：

首先在平底锅里煮沸热水，加入高汤和西红柿汁搅拌均匀后……



首先在平底锅里烧开水，放入清汤和番茄汁混合……



首先在平底锅里烧开水，放入清汤和番茄汁混合后……"
"XMESS_0015","鸟羽老师，
可以给我一点白酒吗？","XMESS_0015","机翻辅助：

鸟羽老师，
可以给我一点白酒吗？

鸟羽老师，
可以给我一点白葡萄酒吗？

鸟羽老师，
能给我一点白葡萄酒吗？"
"XMESS_0016","来，请用。","XMESS_0016","机翻辅助：

来，请用。

好的，请进。

好的，请。"
"XMESS_0017","谢谢～","XMESS_0017","机翻辅助：

谢谢～

谢谢。"
"XMESS_0018","加入白酒后，用盐巴和黑胡椒调味。","XMESS_0018","机翻辅助：

加入白酒后，用盐巴和黑胡椒调味。

加入白葡萄酒后，用盐和黑胡椒调味。

加入白葡萄酒后加入盐和黑胡椒调味。"
"XMESS_0019","配料有培根和香肠，再来就是把蔬菜切一切丢进去炖煮就行了。

","XMESS_0019","机翻辅助：

配料有培根和香肠，再来就是把蔬菜切一切丢进去炖煮就行了。



食材是培根和香肠，然后适当切些蔬菜煮熟就行了。



食材是培根和香肠，然后适当切蔬菜炖就好了。"
"XMESS_0020","目前看起来，
只是普通的西红柿炖菜而已。","XMESS_0020","机翻辅助：

目前看起来，
只是普通的西红柿炖菜而已。

现在看来，
只是普通的炖西红柿。

现在看来只是炖西红柿。"
"XMESS_0021","如果加入意大利面，感觉会很好吃。","XMESS_0021","机翻辅助：

如果加入意大利面，感觉会很好吃。

放入意大利面好像很好吃呢。

要是加上意大利面，应该会很好吃吧。"
"XMESS_0022","啊啊，那样或许也不错。
不过今天没准备就是了。","XMESS_0022","机翻辅助：

啊啊，那样或许也不错。
不过今天没准备就是了。

啊，那也不错。
今天不太好。

啊，那也不错啊。
今天很辛苦。"
"XMESS_0023","抚子，
我空出中间的位置了～","XMESS_0023","机翻辅助：

抚子，
我空出中间的位置了～

抚子，
打开了正中间的空间。

抚子，
中间空出来的日子。"
"XMESS_0024","主角终于要登场了！
是卡芒贝尔芝士！","XMESS_0024","机翻辅助：

主角终于要登场了！
是卡芒贝尔芝士！

终于主角登场了！
卡曼贝尔奶酪！

终于主角登场了！
是卡曼贝尔奶酪！"
"XMESS_0025","把用铝箔纸包起来的卡芒贝尔芝士放在正中央……
","XMESS_0025","机翻辅助：

把用铝箔纸包起来的卡芒贝尔芝士放在正中央……


把用铝箔包起来的卡曼贝尔奶酪放在正中间……


中间是用锡纸包着的卡曼贝尔奶酪……"
"XMESS_0026","粘稠的芝士……
啊，我知道了！","XMESS_0026","机翻辅助：

粘稠的芝士……
啊，我知道了！

变成龙猫的奶酪……
啊，知道了！

变得软绵绵的奶酪……
啊，知道了！"
"XMESS_0027","这是……芝士火锅！","XMESS_0027","机翻辅助：

这是……芝士火锅！

这是……奶酪火锅！

这是……是奶酪火锅呢！"
"XMESS_0028","被抢先说出来了……","XMESS_0028","机翻辅助：

被抢先说出来了……

先被说了……"
"XMESS_0029","来，
请！
把渗入了番茄酱的食材和芝士缠在一起吃！","XMESS_0029","机翻辅助：

来，
请！
把渗入了番茄酱的食材和芝士缠在一起吃！

来，吃吧！把吸饱了西红柿酱汁的配料沾上芝士，好好享用吧～！



来，请进！蘸上番茄酱汁的食材拌上芝士，很有味道！"
"XMESS_0030","还有附餐的面包～","XMESS_0030","机翻辅助：

还有附餐的面包～

也有搭配的面包。

今天还有配菜面包。"
"XMESS_0031","好——！","XMESS_0031","机翻辅助：

好——！

哈——好！

啊——！"
"XMESS_0032","重点在于要在卡芒贝尔芝士的表面画圆，
像这样切出纹路，
芝士就会因为热度而变得粘稠。","XMESS_0032","机翻辅助：

重点在于要在卡芒贝尔芝士的表面画圆，
像这样切出纹路，
芝士就会因为热度而变得粘稠。

重点是在卡曼贝尔的表面画一个圆形。
这样一来，
热量就会变得很热。

关键是在卡曼贝尔的表面画上圆形的切口。
这样的话会因为热而变成龙猫。"
"XMESS_0033","好烫……舌头烫伤了。","XMESS_0033","机翻辅助：

好烫……舌头烫伤了。

啊……舌头坏了。

爸爸……舌头烧坏了。"
"XMESS_0034","小心点啊～","XMESS_0034","机翻辅助：

小心点啊～

小心啊。

小心点哦。"
"XMESS_0035","好烫……不过，好吃。","XMESS_0035","机翻辅助：

好烫……不过，好吃。

好热……但是很好吃。

热……但是很好吃。"
"XMESS_0036","哈呼，哈呼……嗯，好吃～","XMESS_0036","机翻辅助：

哈呼，哈呼……嗯，好吃～

哈哈，哈哈……嗯，很好吃。

呵呵，呵呵……嗯，很好吃。"
"XMESS_0037","和红酒很搭。","XMESS_0037","机翻辅助：

和红酒很搭。

和葡萄酒很搭。

和葡萄酒很配。"
"XMESS_0038","不管是什么样的食材，
肯定都很好吃呢～","XMESS_0038","机翻辅助：

不管是什么样的食材，
肯定都很好吃呢～

不管什么样的食材都一定很好吃。


无论什么食材都很好吃。"
"XMESS_0039","是啊。","XMESS_0039","机翻辅助：

是啊。"
