"source","target","id","developer_comments"
"XMESS_0000","这次的露营也很开心呢～","XMESS_0000","机翻辅助：

这次的露营也很开心呢～

这次的露营也很开心呢。"
"XMESS_0001","这里可以看到抚子喜欢的富士山，
而且占地很广，
可以悠哉地露营。","XMESS_0001","机翻辅助：

这里可以看到抚子喜欢的富士山，
而且占地很广，
可以悠哉地露营。

在这里可以看到抚子喜欢的富士山，
而且占地很大，
可以悠闲地露营。

在这里可以看到抚子喜欢的富士山，
占地面积大，
可以悠闲地露营。"
"XMESS_0002","最重要的是，有浴室真是太棒了。","XMESS_0002","机翻辅助：

最重要的是，有浴室真是太棒了。

最重要的是浴室。"
"XMESS_0003","这里也是研修设施吗？
来了好多人啊。","XMESS_0003","机翻辅助：

这里也是研修设施吗？
来了好多人啊。

这里也是研修设施吧。
来了各种各样的人呢。

这里也是培训机构吧。
来了各种各样的人呢。"
"XMESS_0004","啊啊，当时也有许多小孩呢。","XMESS_0004","机翻辅助：

啊啊，当时也有许多小孩呢。

啊。孩子也很多啊。

啊。孩子也很多。"
"XMESS_0005","嗯，找到了。","XMESS_0005","机翻辅助：

嗯，找到了。

嗯，很痛。

嗯，我想。"
"XMESS_0006","呼，身体暖起来了。","XMESS_0006","机翻辅助：

呼，身体暖起来了。

啊，好暖和啊。

啊，真暖和啊。"
"XMESS_0007","身体从内到外都暖洋洋的。","XMESS_0007","机翻辅助：

身体从内到外都暖洋洋的。

从身体的中心扑通一声。

全身都暖洋洋的。"
"XMESS_0008","关于刚才的话题……
其实是因为这附近有休息站可以买到食材，
很方便。","XMESS_0008","机翻辅助：

关于刚才的话题……
其实是因为这附近有休息站可以买到食材，
很方便。

刚才的话还在继续……
这里可以在附近的车站采购食材，
很方便。

继续刚才的话题……
这里附近的车站就能买到食材，
很方便。"
"XMESS_0009","除此之外还有很多可以顺道去逛的地方，
真不错。","XMESS_0009","机翻辅助：

除此之外还有很多可以顺道去逛的地方，
真不错。

除此之外还有很多值得一去的景点，
不错呢。

除此之外还有很多顺便去的地方。"
"XMESS_0010","嗯，牧场甜点也很棒呢～","XMESS_0010","机翻辅助：

嗯，牧场甜点也很棒呢～

嗯，牧场甜点也是最棒的。

嗯，牧场甜点也很棒。"
"XMESS_0011","朝雾高原露营区吗？感觉今后会常常受它关照呢。

","XMESS_0011","机翻辅助：

朝雾高原露营区吗？感觉今后会常常受它关照呢。



朝雾高原露营场吗。
这是今后几次承蒙关照的地方啊。


是朝雾高原露营地吗？这是今后要多次关照的地方啊。"
"XMESS_0012","下次要带更多人来哦。","XMESS_0012","机翻辅助：

下次要带更多人来哦。

下次再来更多的人吧。

下次有更多人来吧。"
"XMESS_0013","嗯，对啊。","XMESS_0013","机翻辅助：

嗯，对啊。

啊，是啊。"
"XMESS_0014","因为还有很多我还没做给任何人吃过的露营餐点。
","XMESS_0014","机翻辅助：

因为还有很多我还没做给任何人吃过的露营餐点。


因为还有很多谁都没做过的露营饭。


因为还有很多没人做过的露营饭。"
"XMESS_0015","敬请期待今后的发展！","XMESS_0015","机翻辅助：

敬请期待今后的发展！

今后也请期待哦！

今后也很期待哦！"
"XMESS_0016","嗯，我会期待的。","XMESS_0016","机翻辅助：

嗯，我会期待的。

嗯，期待着等待着哦。

嗯，我期待着你的到来。"
"XMESS_0017","（还有很多想去的地方、想做的事、想做的料理。
）","XMESS_0017","机翻辅助：

（还有很多想去的地方、想做的事、想做的料理。
）

（想去的地方、想做的事、想做的菜还有很多）


（想去的地方，想做的事情，想做的料理还有很多）"
"XMESS_0018","（以后我也想多多露营！
）","XMESS_0018","机翻辅助：

（以后我也想多多露营！
）

（今后也想多露营啊！
）

（今后也想多多露营啊！
）"
