"source","target","id","developer_comments"
"XCMNT_0017","“午休的校舍前”","XCMNT_0017","机翻辅助：

“午休的校舍前”"
"XMESS_0000","手机里真的都是竹轮的照片呢。
","XMESS_0000","机翻辅助：

手机里真的都是竹轮的照片呢。


真的是智能手机里全是竹轮的照片啊。


手机里真的全是竹轮的照片。"
"XMESS_0001","欸，你看这张竹轮的照片。
拍得不错吧？","XMESS_0001","机翻辅助：

欸，你看这张竹轮的照片。
拍得不错吧？

喂，看这个竹轮。
拍得不好吗？

喂，你看这个竹轮。
拍得好不好？"
"XMESS_0002","是被摄体很棒吧。","XMESS_0002","机翻辅助：

是被摄体很棒吧。

拍摄对象很好吧。"
"XMESS_0003","有竹轮的照片，
每一张都很可爱。","XMESS_0003","机翻辅助：

有竹轮的照片，
每一张都很可爱。

每一张竹轮的照片都很可爱。


拍到竹轮的图像都很可爱呢。"
"XMESS_0004","但是，
这样看来竹轮的表情相当丰富。","XMESS_0004","机翻辅助：

但是，
这样看来竹轮的表情相当丰富。

不过，这样一看，竹轮的表情还满丰富的呢。


不过，这么一看，竹轮的表情还挺丰富的。"
"XMESS_0005","啊，
可能吧。
看表情就能大致知道它在想什么。","XMESS_0005","机翻辅助：

啊，
可能吧。
看表情就能大致知道它在想什么。

啊，
也许是这样。
一看脸就知道在想什么。

啊，
也许吧。
只要看脸就能知道他在想什么。"
"XMESS_0006","可是，
竹轮也有口是心非的一面。","XMESS_0006","机翻辅助：

可是，
竹轮也有口是心非的一面。

但是，
竹轮也有脆弱的地方。

不过，
竹轮也有阴柔的地方。"
"XMESS_0007","有时候叫它过来，
它就是不过来。","XMESS_0007","机翻辅助：

有时候叫它过来，
它就是不过来。

有时候叫他来这里，
他也不来。

即使叫你过来，
也有不来的时候。"
"XMESS_0008","可是一说“散步”，
它就马上开始躁动。","XMESS_0008","机翻辅助：

可是一说“散步”，
它就马上开始躁动。

但是，刚说“散步”
的时候，就开始心神不定了。

但是，一提到“散步”，就开始心神不定了。"
"XMESS_0009","果然很可爱嘛。","XMESS_0009","机翻辅助：

果然很可爱嘛。

果然很可爱啊。"
"XMESS_0010","没错。
你真懂它啊～","XMESS_0010","机翻辅助：

没错。
你真懂它啊～

正是如此。
不愧是明白啊～

没错。
不愧是知道啊～"
"XMESS_0011","最近它对“露营”
这个词也有反应了。","XMESS_0011","机翻辅助：

最近它对“露营”
这个词也有反应了。

最近对“露营”
这个词也有反应了。"
"XMESS_0012","完全被主人同化了啊。","XMESS_0012","机翻辅助：

完全被主人同化了啊。

完全染上了主人啊。

完全变成了饲主啊。"
"XMESS_0013","啊哈哈哈。
参加露营的时候，
你要好好疼爱它哦。","XMESS_0013","机翻辅助：

啊哈哈哈。
参加露营的时候，
你要好好疼爱它哦。

啊哈哈哈哈。
参加露营的时候，
要好好疼爱他哦。

哈哈哈。
参加露营的时候，
请疼爱他。"
"XMESS_0014","啊啊，当然。","XMESS_0014","机翻辅助：

啊啊，当然。

啊，当然。"
