"source","target","id","developer_comments"
"XMESS_0000","（回程……要去哪间加油站　加油呢？
）","XMESS_0000","机翻辅助：

（回程……要去哪间加油站　加油呢？
）

（回去的时候……在哪里的加油站加油回去呢？
）

（回去的时候……
在哪个加油站加完油再回去呢？"
"XMESS_0001","（如果差价只有1日元左右，那还是在附近的加油站加油比较好……
）","XMESS_0001","机翻辅助：

（如果差价只有1日元左右，那还是在附近的加油站加油比较好……
）

（升1日元左右的话，在附近的加油站加油比较好……
）

（公升1日元左右的差别，还不如在附近的加油站加油……
）"
"XMESS_0002","欸，凛。
你从刚才就一脸严肃，是在想什么？","XMESS_0002","机翻辅助：

欸，凛。
你从刚才就一脸严肃，是在想什么？

喂，凛。
从刚才开始就很难的表情在想什么？

喂，凛。
你从刚才就一副为难的表情在想什么？"
"XMESS_0003","我在思考回程时要在哪个加油站加油。","XMESS_0003","机翻辅助：

我在思考回程时要在哪个加油站加油。

我在考虑回去的时候在哪个加油站加油。

我在想回去的时候在哪个加油站加油。"
"XMESS_0004","哦，话说最近汽油凛的价格可能会一口气下跌。
对吧？","XMESS_0004","机翻辅助：

哦，话说最近汽油凛的价格可能会一口气下跌。
对吧？

啊，这么说来，最近加索凛的价格可能会一下子下降吧。


对了，这么说来，最近凛的价格可能会一下子下降吧。"
"XMESS_0005","什么，真的吗！？","XMESS_0005","机翻辅助：

什么，真的吗！？

什么，真的吗？？"
"XMESS_0006","怎么没说那样的话？
在电视上。","XMESS_0006","机翻辅助：

怎么没说那样的话？
在电视上。

好像说过那样的话吧？
在电视上。

电视上好像有说过类似的话？"
"XMESS_0007","那你打算怎么办？","XMESS_0007","机翻辅助：

那你打算怎么办？

那么，你决定怎么办？

然后，你决定怎么办？"
"XMESS_0008","今天不加油就直接回家。
回家后要收集情报。","XMESS_0008","机翻辅助：

今天不加油就直接回家。
回家后要收集情报。

今天不加油就回去。
回去后要收集情报。"
"XMESS_0009","那就拜拜啦！
回家路上小心哦！","XMESS_0009","机翻辅助：

那就拜拜啦！
回家路上小心哦！

那么，再见！
回去的时候要小心哦！

那么，拜拜！
回家路上小心哦～！"
"XMESS_0010","嗯，明天见。","XMESS_0010","机翻辅助：

嗯，明天见。

啊，明天见。"
