"source","target","id","developer_comments"
"XCMNT_0019","“早上的上学路”","XCMNT_0019","机翻辅助：

“早上的上学路”

“早上上学的路”"
"XMESS_0000","呼……终于到了。","XMESS_0000","机翻辅助：

呼……终于到了。

呼……终于来到了这里。

嗯……终于来到这里了。"
"XMESS_0001","没精神的时候，
爬这个坡有点吃力呢……","XMESS_0001","机翻辅助：

没精神的时候，
爬这个坡有点吃力呢……

打不起精神的时候，
这个坡道有点吃力吧……

精神不起来的时候这个坡有点陡啊……"
"XMESS_0002","呼啊～啊……","XMESS_0002","机翻辅助：

呼啊～啊……

啊～啊……

哇～啊……"
"XMESS_0003","早安，抚子。","XMESS_0003","机翻辅助：

早安，抚子。

早上好，抚子。"
"XMESS_0004","啊，小凛……早安。","XMESS_0004","机翻辅助：

啊，小凛……早安。

啊，凛酱……早上好。

啊，凛……早上好。"
"XMESS_0005","怎么了？
难得看你这么没精神。","XMESS_0005","机翻辅助：

怎么了？
难得看你这么没精神。

怎么了？
难得看起来没有精神。

怎么了？
看起来很少见地没有精神。"
"XMESS_0006","昨天晚上看的恐怖片有点太刺激……
所以睡不太着。","XMESS_0006","机翻辅助：

昨天晚上看的恐怖片有点太刺激……
所以睡不太着。

昨天晚上看的恐怖电影有点强烈……
没怎么睡。

昨天晚上看的恐怖电影有点强烈……
我没怎么睡。"
"XMESS_0007","真是的，到底在干嘛啊。","XMESS_0007","机翻辅助：

真是的，到底在干嘛啊。

你在干什么。

你在干什么呢？"
"XMESS_0008","小凛真好，
每天早上骑电动自行车去上学。","XMESS_0008","机翻辅助：

小凛真好，
每天早上骑电动自行车去上学。

凛酱真好啊。
每天早上骑摩托车游泳。

凛真不错啊。
每天早上都骑电动车游泳。"
"XMESS_0009","就算稍微睡眠不足或疲劳，
也不会有事。","XMESS_0009","机翻辅助：

就算稍微睡眠不足或疲劳，
也不会有事。

稍微睡眠不足或者累一点也没关系。


稍微睡眠不足或者累了也没关系。"
"XMESS_0010","不，其实也不是没事……","XMESS_0010","机翻辅助：

不，其实也不是没事……

不，也不是无所谓……

不，并不是没关系……"
"XMESS_0011","这么羡慕的话，
抚子也去考驾照啊。","XMESS_0011","机翻辅助：

这么羡慕的话，
抚子也去考驾照啊。

既然这么羡慕，
抚子也去考驾照吧。

那么羡慕的话，
抚子也要考驾照哦。"
"XMESS_0012","咦……我也要？","XMESS_0012","机翻辅助：

咦……我也要？

啊……我也是？

诶……我也是？"
"XMESS_0013","原来如此，驾照啊……","XMESS_0013","机翻辅助：

原来如此，驾照啊……

原来如此，是驾照啊……"
