"source","target","id","developer_comments"
"XMESS_0000","好大的浴池哦～","XMESS_0000","机翻辅助：

好大的浴池哦～

浴室真大啊。

好大的浴室啊。"
"XMESS_0001","我第一次看到有大理石雕刻的浴池。
","XMESS_0001","机翻辅助：

我第一次看到有大理石雕刻的浴池。


我第一次看到有大理石雕刻的浴室。


我还是第一次看到有大理石雕刻的浴室。"
"XMESS_0002","连彩绘玻璃都有，
超豪华的。","XMESS_0002","机翻辅助：

连彩绘玻璃都有，
超豪华的。

还有彩色玻璃，
真是太豪华了。

还有彩色玻璃，
非常豪华。"
"XMESS_0003","毕竟这栋建筑物本身就是重要文化财产呢。
","XMESS_0003","机翻辅助：

毕竟这栋建筑物本身就是重要文化财产呢。


因为这座建筑本身就是重要的文化财产。


因为这座建筑本身就是重要的文化遗产。"
"XMESS_0004","这么豪华的浴池只有我们用，
真是太奢侈了。","XMESS_0004","机翻辅助：

这么豪华的浴池只有我们用，
真是太奢侈了。

这么豪华的浴室只有我们一家，
真是太豪华了。

那么豪华的浴室里只有我们，
真是太豪华了。"
"XMESS_0005","嗯，是的。","XMESS_0005","机翻辅助：

嗯，是的。

嗯，是啊。"
"XMESS_0006","只有我们用。
既然这样……","XMESS_0006","机翻辅助：

只有我们用。
既然这样……

只有我们。
那么……

只有我们。
这样的话……"
"XMESS_0007","喝啊！","XMESS_0007","机翻辅助：

喝啊！

哇哇！

哎呀！"
"XMESS_0008","哇噗！？","XMESS_0008","机翻辅助：

哇噗！？

哇！？

呵呵！？"
"XMESS_0009","等等，秋！
会吓到人吧！？","XMESS_0009","机翻辅助：

等等，秋！
会吓到人吧！？

喂，亚希！
吓一跳吧！？

喂，小晶！
吓一跳吧！？"
"XMESS_0010","嘿嘿，
偶尔恢复童心也不错吧？","XMESS_0010","机翻辅助：

嘿嘿，
偶尔恢复童心也不错吧？

嘿嘿，
偶尔变成童心也不错吧？

嘿嘿，
偶尔找回童心也没什么不好吧？"
"XMESS_0011","何止偶尔，
你根本经常这样吧。","XMESS_0011","机翻辅助：

何止偶尔，
你根本经常这样吧。

不是偶尔，
而是经常停。

不是偶尔，
而是经常。"
"XMESS_0012","咦？是这样吗？","XMESS_0012","机翻辅助：

咦？是这样吗？

咦？是吗？"
"XMESS_0013","好了好了。
难得来泡温泉，
就慢慢泡吧。","XMESS_0013","机翻辅助：

好了好了。
难得来泡温泉，
就慢慢泡吧。

还行吧。
既然是难得的温泉，
就好好泡吧。

还可以。
因为是难得的温泉，
所以慢慢地泡吧。"
"XMESS_0014","好的——","XMESS_0014","机翻辅助：

好的——

是——是。

哈哈。"
